System or Matrix,Eigenvalue/Ritz Value,Calculation Method,Type of Subspace,Error Type (Inferred),Source,,,,
Fomenko-Matveev-Weeks manifold (Vol1),0.94270736,Newton method numerical solution to Thurston's equations,Hyperbolic 3-manifold,Numerical sampling noise,"512, 14.2.8",,,,
Figure-eight knot sibling (M22),2.0298832128,Ideal regular tetrahedral summation,Cusped hyperbolic 3-manifold,Floating point precision error,"512, 14.1.8",,,,
Nonequilibrium thermodynamic systems,Bifurcation point,"Statistical, stochastic description",Krylov (Implicitly in numerical modeling context); Bundles of trajectories,Random fluctuations and sampling noise,4,,,,
Cartesian geometry in Newtonian context,Fixed-point attractors / Limit cycles,Linear differential equations,Euclidean geometry,Idealization error from neglecting microscopic fluctuations,4,,,,
"Complex dynamic systems (e.g., weather, population dynamics)",Strange attractor / Universal constant (Feigenbaum's constant),Iterating a nonlinear function / Recursive mapping,Phase space / Fractal geometry,Rounding/thresholding error in nonlinear iterations,4,,,,
Lorenz system (heated fluid),Lorenz strange attractor,Set of nonlinear equations,Phase space,Sensitivity to starting condition precision (Butterfly Effect),4,,,,
Gravitational force (Newtonian),"Conic sections (ellipse, parabola, hyperbola)",Mathematical principles/geometrical figures,Absolute space and time,Curvature-induced defects (relative to Einsteinian frames),4,,,,
Irrotational vector field F on open subset U of R^2,Real number (line integral value),Line integral over oriented curves,Homotopy-invariant path space,Curvature-induced path divergence,5,,,,
Graphene sample (Source C Smkt),Stress: 0; Strain: 0,Force-extension measurement,Material property space,Measurement noise,5,,,,
Graphene sample (Source AC),Stress: 0.1; Strain: 80,Force-extension measurement,Material property space,Measurement noise,5,,,,
Cyclic monoid M (Q^7 = Q^4),"Q^4, Q^5, Q^6",Monoid action on itself,Category of elements (Grothendieck construction),Periodic convergence error,5,,,,
Simplicial complex X face-incidence poset,H0 dimension = 1,Matrix kernel calculation / simplicial homology,Free abelian group Cn(X) / Chain complex,Combinatorial discretization error,6,,,,
Cellular sheaf of vector spaces on complex K,Global section H0(X;F),Linear map block matrix kernel / Coboundary map,Vector space stalks / Cochain space Ck(X;F),Consistency structure deviation,6,,,,
Sheaf of continuous real-valued functions,Unique gluing a ∈ F(U),Local-global collation / Equalizer diagram,Function space / Restriction-collation subspace,Local-global obstruction,6,,,,
Bayes net probability distribution,Global section probability solution,Paired sheaf-cosheaf marginalization,Joint distribution space / Marginalization cosheaf,Stochastic sampling noise,6,,,,
Complex elliptic curve (Generic cubic in CP2),2-dimensional torus,Genus calculation/Topological genus formula,Complex projective plane CP2,Topological genus defect,7,,,,
Smooth tropical curve of degree d,g = (d-1)(d-2)/2,Riemann-Roch theorem application,Tropical projective plane TP2,Lattice discretization error,7,,,,
Real algebraic curve RX (degree 2k),p ≤ 3k(k-1)/2 + 1,Viro patchworking / Ragsdale conjecture estimation,Real locus of smooth complex algebraic surface,Isotopy type deviation,7,,,,
Amoeba At of line {z+w+1=0},Ζt = π^2 / (6(log t)^2),Logarithmic map (Logt) and volume preservation,R2 inside tropical affine space T2,Phase-forgetting noise,7,,,,
Tropical k-cycle (balanced polyhedral set),Σ ω(σ) v_σ/τ = 0 mod L(τ),Balancing condition verification,Krylov-like polyhedral subspaces of Rn,Curvature-induced defects (at vertices),7,,,,
Standard tropical projective k-plane Lk,degree = 1,Stable intersection with Hk,Toric variety TPn,Thresholding error,7,,,,
Jacobian of tropical curve Jac(C),g-dimensional tropical torus,Integration of residue forms / Abel-Jacobi map,"Ω(C)*/H1(C, Z)",Metric graph approximation noise,7,,,,
Tropical Laurent Polynomial System,"MV(P1, ..., Pn)",Tropical Bernstein-Kouchnirenko Theorem,Newton Polytopes in Rn,Sampling noise in mixed volume,7,,,,
n-level system (Mn(C)),Spectral projections in C: pCn ⊆ qCn,Internal Gelfand Spectrum calculation,Spectral locale ΣA (or Σ↑),Approximation via discretization of context,8,,,,
Self-adjoint operator 'a' (von Neumann algebra),V(a) ∈ σ(a),Borel function mapping b = f(a),Gelfand spectrum ΣC,Naive realist interpretation deviation,8,,,,
Self-adjoint element (a ∈ Asa),inf(σ(a)) and sup(σ(a)),Inner and Outer Daseinisation (δi(a)C and δo(a)C),Abelian von Neumann subalgebra (Context C),Coarse-graining precision loss,8,,,,
Self-adjoint operator 'a' at state λ,"λ(δi(a)C), λ(δo(a)C)",Gelfand transformation G,"Interval domain IR in C, Set",Interval-induced uncertainty,8,,,,
M3(C) algebra,Rank 1 projections (distributive join),Balanced inf-embedding δi,Property lattice P(A),Curvature-induced (contextual) join failure,8,,,,
Holographic AI Model,Reduced-dimensional feature spaces,Dimensional reduction (Bulk-to-Boundary mapping),Transitional Topology (Bulk AdS/Boundary CFT),Dimensional reduction artifacts,9,,,,
AI Decision Network,Probabilistic adjacency values,Quantum-inspired inference / Tensor contractions,Holographic Tensor Network,Structured randomness/noise,9,,,,
Quantum Spin Network (AI),Entangled knowledge nodes,Topos-theoretic dimensional reduction,Probabilistic Manifold,Entanglement entropy decay,9,,,,
Guitar string of length l,(k*pi / l)^2 for k >= 1,Wave equation solution with Dirichlet boundary conditions,Harmonic modes (1D interval),Physical modeling assumptions (constant mass/tension),10,,,,
Circle (S1),"0, 1, 1, 4, 4, ..., k^2, k^2",Laplace operator definition on S1,L2(S1),Discretization or truncation error,10,,,,
"Rectangle (0, l x 0, m)","(j pi / l)^2 + (k pi / m)^2 for j, k >= 1",Dirichlet boundary conditions on Laplace operator,Sobolev space H1(M),Approximation of counting function N(lambda),10,,,,
Torus (T2),"0, 4 pi^2 \",y\,^2 for y in Z^2,Fourier basis expansion on Z^2,L2(T2),Lattice square counting estimation,10,,
Sphere (S2),-k(k + 1) for k >= 0,Spherical Harmonics/Separation of variables,Hk (Homogeneous polynomials),Coordinate system singularities (poles),10,,,,
Hypercuboid vertex,j(ij) (Area/Spin labels),EPRL-FK-KKL Spinfoam Amplitude,Krylov-like boundary graph configuration space,Non-geometricity / Shape-mismatch,11,,,,
4-simplex vertex,B_f (Bivector spectrum),EPRL-recipe (Kamiński-Kisielowski-Lewandowski),Invariant intertwiner space,Face-mismatch and torsion,11,,,,
"Spectral mesh (e.g., Armadillo model)",First 99 eigenfunctions,Manifold Harmonics Transform (Laplace-Beltrami),Truncated subspace bases,Sampling noise/approximation of vertex positions,10,,,,
"Compact Riemannian manifold (M, g)",lambda_j ~ (2*pi)^2 / (omega_n * volg(M))^(2/n) * j^(2/n),Weyl's Law (asymptotic formula),L2(M) complete orthonormal basis,High-energy asymptotic deviation,10,,,,
Collatz Braid b(n),2#odd steps,"Burau representation ρ: B∞ → GL∞(Zt, t−1) at t = −1",Braid Group B∞,Sub-linear growth complexity,12,,,,
Symbolic Resonance Operator Rα(z),1 (Resonant),Arithmetic resonance criterion limit sup z→1+,Number fields of algebraic integers,Spectral decay/Non-resonance for Gaussian integers,12,,,,
Normalized Laplacian L,λ1 = 0 ≤ λ2 ≤ · · · ≤ λ\,V\,≤ 2,Normalised Laplacian derivation I−D−1/2AD−1/2,Finite priority graph GC,Eigenvalue mass deletion via folding,12,,
Resonant Mode ψ,λ (Resonance eigenvalue),Symbolic Laplacian Δψ + λψ = 0,Semantic vector field/Logic algebra,Associative deformation/Symbolic tension,12,,,,
q-Associator Operator,λq (Spectral curvature quanta),q-deformed braid product Bmpr(q),Symbolic Hilbert space Hq of braid states,q-anomaly/Local obstruction to sheaf triviality,12,,,,
Connes Spectral Triple,Vanishing modular Hamiltonian,Curvature–valuation inequality limit,Recursive family M(n)p,θ-flatness thresholding error,12,,,,
Compact Riemannian manifold M (dimension d),Scalar or spinorial Laplacian eigenvalues,Heat equation asymptotics,Hilbert space of spinors (H),Renormalization scale deviations,13,,,,
Noncommutative torus,WRes(D^-p) = 0 for odd p,Noncommutative integration / WRes,Smooth algebra of the torus,Diophantine condition artifacts,13,,,,
Moyal plane,Spectral dimension = 2N,Dixmier trace of (D^2 + ε^2)^-N,Schwartz Moyal algebra (Aθ),Non-compactness spectral leakage,13,,,,
Euclidean Quantum Gravity Vacuum,Bare renormalization coefficient b0 = 8/3,Geometric trace of vacuum polarization tensor,Indefinite metric Krein space,Conformal factor instability,14,,,,
Vacuum Hamiltonian Gk (Berry-Keating operator),"14.5213 (Mode 1), 20.6557 (Mode 2)",Semiclassical spectral function Nvac(E),BRST cohomology (Hphys),Quantum chaotic fluctuations,14,,,,
Vacuum transfer operator,ξ(s) (Completed Riemann Zeta function),Spectral determinant / Zeta-regularized trace,Causal Gelfand Triple,Vacuum instability (non-RH zeros),14,,,,
Non-compact spectral triple,Continuous spectrum R,Resolvent compact operator analysis,Rigged Hilbert Space / Gelfand Triple,Boundary divergence,13,,,,
Model non-Hermitian Hamiltonian H1,W ± sqrt(X^2 + Y^2 + Z^2),Exact Diagonalization,2x2 Hilbert Space,Thresholding error (numerical resolution of the exceptional point),15,,,,
PT-symmetric dimer (static),± sqrt(ω0^2 - γ^2),Explicit exact solution of Kirchhoff laws matrix,Two-site site basis,Oscilloscope measurement noise and gain saturation,15,,,,
1D tight binding lattice (N=20 sites),ε0 - 2J cos(k),Numerical Eigenspectrum Flow,Krylov-like Discrete Lattice,Numerical thresholding error at exceptional points,15,,,,
Finite 1D Kitaev Chain (N=5),∓1/2 sqrt(2) 4(J^2 + δ^2) - γ^2 ± sqrt(4(J^2 - δ^2)^2 + γ^4)^{1/2},Analytical Diagonalization,Bogoliubov-de Gennes representation,Puiseux series sensitivity to superconducting order parameter,15,,,,
Floquet Time Evolution Operator G(T),λ± = C^2 - S^2 cosh(2α) ± iS sqrt(D),Floquet Formalism (Stroboscopic Observation),Floquet Subspace,Sampling noise from discrete time period drives,15,,,,
"2D Tight Binding Lattice (Nx=26, Ny=6-13)",-2Jx cos(kp) - 2Jy cos(kq),Exact Diagonalization,2D Strongly Coupled Lattice,Numerical round-off in strong coupling limit (Jy >> Jx),15,,,,
Reentering mark (J),Self-crossing/Oscillatory,Recursive reentry / Asynchronous transition model,Indicational space / Infinite nest of enclosures,Temporal oscillation or boundary paradox,16,,,,
Doubling form (D),Growth rate μ(D) = 2,Limit of ratios of successive depth counts (Dn = 2^{n-1}),Infinite recursive form / Nested enclosures,Recursive limit convergence error,16,,,,
Fibonacci form (F),Growth rate μ(F) = (1 + √5)/2 (Golden Ratio),Limit of ratios of successive depth counts (Fn+1 = Fn + Fn-1),Infinite recursive form,Recursive limit convergence error,16,,,,
Quadratic equation (x^2 = ax + b),Growth rate x = a + b/x,Infinite formal continued fraction,Algebraic space / Complex root space,Complex root non-convergence / imaginary component,16,,,,
"Recursive form G(θ) = G(2cos(θ), -1)",sin(nθ)/sin(θ),Total signed depth count (Totn(G)),Recursive weighted form space,Chaotic behavior at specific theta intervals,16,,,,
Koch Fractal (K),Fractal Dimension D = ln(4)/ln(3),ln(Number of Reentries)/ln(Number of Groupings),Self-reflecting eigenform indicational space,Recursive depth approximation threshold,16,,,,
Spencer-Brown Fractal (SB),Fractal Dimension D = 2,ln(2)/ln(√2),Infinite form superposition / 90-degree bend generator,Space-filling limit discretization,16,,,,
Operator Algebra (Rotation R / Hamiltonian H),Spherical harmonics / Energy levels,Commuting operator analysis (RH=HR),Vectorial space / Minimal left ideals,Symmetry-induced degeneracy,17,,,,
Trefoil Knot (T) IQ(T),Modulus 3 (Z/3Z),Quandle coloring / 2b-a rule,Involutory Quandle / Topological diagram space,Topological Reidemeister move variance,16,,,,
Figure Eight Knot,Determinant / Modulus 5 (Z/5Z),Quandle coloring equations,Topological knot space,Non-3-colorable topological defect,16,,,,
Borromean Rings,Modulus 4 (Z/4Z),Linearized quandle equations 4(a-b)=0,Tripartite linked topological space,Cyclic symmetry interlocking error,16,,,,
Quantum Harmonic Oscillator,"En = ħω(n + 1/2), n = 0, 1, ..., N",Schrödinger equations solved via Lie algebraic methods,Finite-dimensional Lie algebra,Approximation of the infinite basis set,18,,,,
SU(2) Quantum Group Matrix,"μ ∈ -1, 1{0}",Twisting a quasi-triangular Hopf algebra,Hilbert space,Quantum deformation error,18,,,,
Superoperators SHx and SHp,ζ = ±1,Solving SH · Z = ζZ,Vector space,Commutator uncertainty noise,18,,,,
Beal’s Equation (Coprime bases),Divergent Sn (Final Entropy > 300),Prime-Modulated Recursive Entropy (PMRE),Recursive entropy field,Mathematical impossibility induced divergence,19,,,,
Beal’s Equation (Shared prime factors),Bounded Sn (Final Entropy stabilized),Recursive Entropy Framework (REF) / Monte Carlo,Contraction mapping / Stable attractor,Numerical variance,19,,,,
RFC Kernel Operator (t=1),Srec(1) = -6.18292,Recursive Fractal Cosmology Symbolic Compression,Symbolic entropy attractor,Symbolic error band,19,,,,
PBH Density Spectrum,k_peak = 3.12,BLMP PDE Embedding,Recursive Fractal Lattice (RFL),Deviation from analytical collapse model,19,,,,
Symbolic RMS Mass Field,m_RMS(t=1) = 0.326,Recursive Damping Kernel Kfj(t),Cosmic Infinite Field (CIF),Field-symbolic alignment deviation,19,,,,
Quantum Measurement Entropy,S_qm18 ≈ 0.81,Recursive Damping (RE-QEC),Logical subspace / Qubit state space,Sampling noise,19,,,,
F-topological field theory (F-TFT),v1 · · · vn · wg,F-topological recursion (F-TR),Graded vector space V,Combinatorial prefactor or truncation error,20,,,,
Extended 2-spin F-CohFT,"F(α0,k0) g;(α1,k1),...,(αn,kn)",Laplace transform and F-TR,Loop space V+ = V0u,Expansion divergence or poles along the anti-diagonal,20,,,,
"Moduli space of two-bordered real projective planes (g=1/2, n=2)",log((cosh((L1+L2)/4) / cosh((L1-L2)/4)) / sinh^2(ε/2)),Gendulphe-Norbury regularization integral,"Regularized moduli space M−,ε 1/2,2(L21)",Regularization parameter ε divergence (as ε → 0),22,,,,
"Moduli space of one-bordered Klein bottles (g=1, n=1)",−Li2(-cosh^2(L1/4) / sinh^2(ε/2)),Norbury identity unfolding,"Regularized moduli space M−,ε 1,1(L1)",Singularity at geodesic length zero,22,,,,
"Refined stable correlators (ωg,n) for Klein surfaces","nΠ(i=1) Li · Vε g,n(Ln)",Refined topological recursion,Refined spectral curve Sε total,Termwise inverse Laplace transform resummation error,22,,,,
Position operator (x),Numerical value of position,Multiplication by x,Hilbert space of wavefunctions,Measurement uncertainty or coordinate resolution,23,,,,
Momentum operator (p),hk,p = -ih¶/¶x,Hilbert space of wavefunctions,Quantum fluctuations or wave-packet dispersion,23,,,,
Energy operator (E),Ek (Energy spectrum),Schrödinger equation (Eψ = Ekψ),Hilbert space of wavefunctions (eigenstates),Potential energy approximation or spectral noise,23,,,,
Hermitian operator,Real eigenvalues,Operator projection into eigenstates,Hilbert space,Numerical truncation or finite-dimensional basis approximation,23,,,,
Trefoil knot (IQ(T) algebra),3 (Absolute value of determinant),Quandle coloring equations in Z/3Z,Modular number system Z/3Z,Combinatorial mismatch or crossing-site label error,23,,,,
Figure Eight knot (E),5 (Modulus),a*b = 2b-a (mod 5),Modular number system Z/5Z,Topological deformation artifact or labeling noise,23,,,,
Reflexive Domain (D),Fixed point p (p = F(p)),"G = I(g), p = I(g)g where Gx = F(I(x)x)",Magma or reflexive space of transformations,Infinite composition divergence or convergence threshold error,24,,,,
Sedenion Algebra,±1,New calibration (explicit derivation of automorphisms),Sharp algebras (Spin#(Nn)),Thresholding or parity-inconsistency error,25,,,,
Fibonacci quasicrystalline waveguide,Eigenfrequencies within spectral gaps,Second-order non-linear recursion relation (Kohmoto),1D continuous differential model,Curvature-induced defects (material contrast),26,,,,
Hyperbolic Metamaterials (HMM),Large wavevectors (high-k waves),Effective Medium Theory (EMT) parameter retrieval,Isofrequency surface (hyperboloid),Non-local theoretical deviation,27,,,,
Fe(III)-NTA chelate complex,Low-lying spectra (ground state energy within 0.38 millihartree absolute error),Quantum Krylov diagonalization (rotated thresholding),Krylov basis (76 states added to Hartree-Fock),Sampling noise and thresholding error,28,,,,
All-trans polyenes (butadiene),Ground state (0.019 to 0.027 millihartree absolute error),Quantum Krylov diagonalization (rotated thresholding),Krylov basis (34 states added to Hartree-Fock),Sampling noise and hardware noise,28,,,,
Sedenion algebra (C ⊗ S),"0, -1/3, -2/3, -1, 2/3, 1/3, 1",Adjoint action of minimal left ideals in Cl(8),Minimal left ideals (semi-spinors),Algebraic linear dependence (in older models) or gauge symmetry breaking,"29, 30",,,,
3D Krylov basis toy example,"λ0 = ξ / (1-s), λ1 = λ0 + δ, λ2 = λ1 + Δ",Rayleigh-Ritz method with rotated thresholding,Krylov basis (3 basis states),Gaussian noise (standard deviation 0.1) and thresholding projection error,28,,,,
Spherically symmetric Loop Quantum Gravity (2-sphere),"Continuous band −2(iαeff), 2(iαeff) and discrete values (>2 or <-2)",Loop quantization of null expansion operators,Kinematical Hilbert space (super-selected μ-lattice),Discretization effects (µ-scheme) or curvature-induced defects,31,,,,
Representation category Rep(S3),"d1 = 1, dX = 1, dY = 2 (Quantum dimensions)",Anyon condensation restriction/lifting maps,Condensable Frobenius algebra sectors,Information loss quantified by relative entropy,32,,,,
Toric Code (Rep(Z2)),"d1 = 1, dY = 1, dX = 1, dZ = 1",Jones-index defined subfactor inclusion,Lagrangian algebra,Distinguishability loss/Relative entropy,32,,,,
Quaternionic extension of the five-qubit code,pth ≈ 0.015,Numerical estimates,Quaternionic Hilbert space,Curvature-induced defects,33,,,,
Standard complex-valued five-qubit code,pth ≈ 0.01,Numerical estimates,Complex Hilbert space,Sampling noise,33,,,,
3-q-qubit bit-flip code,+1 or -1 (Syndromes),Stabilizer formalism / Syndrome measurement,Quaternionic Hilbert space (HH) ⊗3,Thresholding error,33,,,,
Standard [34] code,pL ∼ p2,Stabilizer formalism,Complex Hilbert space,Sampling noise,33,,,,
Quaternionic extension of the five-qubit code,pL ∼ p2.2,Stabilizer formalism,Quaternionic Hilbert space,Curvature-induced defects,33,,,,
Double planar pendulum,Not in source,Linear differential equations (for small amplitude); nonlinear equations (for wide range),Phase space,Sensitivity to initial conditions and starting state precision,4,,,,
Complex vector space V,Not in source,Restriction of scalars along monoid homomorphism i: R -> C,Real vector space,Field reduction information loss,5,,,,
Octonions (O),Not in source,Exceptional Lie algebra G2 map,7 embedded quaternions / Fano plane,Non-associativity deviation,25,,,,
Unitary one-matrix model (C3 partition function),Not in source,Toeplitz determinant eigenvalue integration,Fermionic Fock space / Young tableaux,Large N thermodynamic limit error,35,,,,
Stieltjes-Wigert matrix model (Chern-Simons theory),Not in source,N-dimensional integral reduction,Hermitian matrix ensemble,Sampling noise (Brownian motion fluctuations),35,,,,
Semi-simple CohFT partition function,Not in source,Cubic cut-and-join operator recursion,"Moduli spaces (Mg,n)",Ramification-induced defects,36,,,,
Discrete dynamical system f: s -> s,Not in source,Graph of discrete dynamical system,Not in source,State-transition mapping error,5,,,,
