Concept,Mathematical Representation,System Component,Description (Inferred),Entropy/Information Measure,Source,,,,,,,,
Stabilization,$\Omega(x) = \lim_{n\to\infty} F^n(x)$,Destination,Finds fixed points in semantic flow to produce stable theories as final attractors of meaning.,Negative entropy (convergence bits),"1, 7",,,,,,,,
Unification,$C = A \cup_s B$,Transmitter,"The synthesis of information elements into a combined structure, minimizing information density  $I(C)$ .",Minimum Energy / bits,14,,,,,,,,
Intersection,$D = A \cap_s B$,Receiver,The extraction of common structure used to project out invariant meanings from noisy data.,bits,14,,,,,,,,
Meta-System (LINT),$M = L_{INT} = L_s \,L_o$,Source,"A self-contained metalanguage that wraps the universe, functioning as the primary generator of supertautological information.",Supertautological Intelligibility,10,,,,,,,
Entropy (REF),$S_{n+1} = S_n + \sigma\nabla^2S_n \dots$,Source / Channel,A dynamic stabilizing mechanism that shapes system evolution by managing gradients to prevent chaotic divergence.,bits / n-dimensional units,11,,,,,,,,
Lacunon Tilt,$\nu = 1/d_n$,Transmitter,The structured absence or gradient of incompleteness that prevents system halting and drives infinite refinement.,$1/d_n$  correction term,18,,,,,,,,
Entropy (Inconsistency),$s(x) = \,"q1, q2, q3\",^2 / \mu$,Channel,Represents the dissipation or waste heat in the cosmic substrate caused by the transition to non-associative structures.,Logical Viscosity ( $\eta$ ),19,,,,,,
Equivocation (Self-Locating),$P(O_i\,U) = w_i / \sum w_j$,Receiver,The uncertainty an observer experiences within a multiverse after decoherence but before observation.,Subjective Credence / bits,20,,,,,,,
Epistemic Separability,$P(X\,U) = P(X\,S)$,Destination,"The principle that local information processing is independent of the global environment, ensuring local stability.",Conditional Credence,20,,,,,,
Self-Disprover,$\phi(A) := \neg Prov(A) \oplus Prov(\neg A)$,Transmitter,Detects Gödelian independence or contradiction within the signal to trigger meta-system transitions.,Boolean pathology flag,18,,,,,,,,
Topological Control,$\ddot{\tau} + \frac{1}{\lambda} (\tau - \tau_0) = P(t) + u(t)$,Channel,A universal control architecture (forced harmonic oscillator) used to maintain structural integrity under perturbation.,Topological error functional  $Ju$,21,,,,,,,,
Unique Collatability,$P(c) \to \prod P(c_i)$,Receiver,Global synthesis of information from local packets within a recursive system (Sheaf Axiom).,bits (Redundancy reduction),6,,,,,,,,
Information Limit,$v(T) = X \text{ or } 1 \to \Omega$,Destination,The ultimate state of systemic certainty or total knowledge within a lattice (Terminal Object).,0 (Minimum uncertainty),6,,,,,,,,
Modal Reachability,$\lozenge p := \neg \square \neg p$,Channel / Source,Represents the reachability of information states (Possibility) or internal constraints (Necessity) within the system.,Probability of state transitions,6,,,,,,,,
Mutual Coherence Entropy,"$I(\psi_m, \psi_i)$",Destination,Measures the informational overlap and resonance coherence between awareness fields and self-identity.,Dimensionless bits,22,,,,,,,,
Kan Extension,$f! / f^*$,Recursive Meta-System,A method of extending information from a sub-system to a larger meta-system while preserving recursive properties.,Not in source,4,,,,,,,,
Topos,$Shv(X)$,System Architecture,A self-contained universe of mathematical discourse acting as a site for information processing and ontology.,Not in source,4,,,,,,,,
Trace,$tr_U (A \otimes U \to B \otimes U)$,Transmitter,"A feedback mechanism that loops information back into the system, representing self-generation.",Not in source,1,,,,,,,,
Recursive Absorption,$m \supset \infty s \to s'$,Destination,"The property where all signals are absorbed into the system's content, preventing meta-systemic escape.",Not in source,23,,,,,,,,
