t,R(t)
19.7,6005.4492016
19.8,6157.47787195
19.9,6313.3551664
20,6473.17851335
20.1,6637.04780759
20.2,6805.06547277
20.3,6977.33652539
20.4,7153.96864047
20.5,7335.07221883
20.6,7520.7604561
20.7,7711.14941349
20.8,7906.35809027
20.9,8106.50849823
21,8311.7257379
21.1,8522.13807672
21.2,8737.87702926
21.3,8959.07743938
21.4,9185.87756455
21.5,9418.41916222
21.6,9656.84757846
21.7,9901.31183879
21.8,10151.96474134
21.9,10408.96295233
22,10672.467104
22.1,10942.64189503
22.2,11219.65619346
22.3,11503.68314224
22.4,11794.90026746
22.5,12093.48958931
22.6,12399.63773582
22.7,12713.53605956
22.8,13035.3807572
22.9,13365.37299215
23,13703.7190203
23.1,14050.63031893
23.2,14406.3237189
23.3,14771.02154016
23.4,15144.95173072
23.5,15528.34800912
23.6,15921.45001051
23.7,16324.50343645
23.8,16737.76020845
23.9,17161.47862543
24,17595.92352521
24.1,18041.36644999
24.2,18498.0858161
24.3,18966.36708801
24.4,19446.50295675
24.5,19938.79352288
24.6,20443.54648402
24.7,20961.07732721
24.8,21491.70952607
24.9,22035.774743
25,22593.61303647
25.1,23165.57307357
25.2,23752.01234794
25.3,24353.29740323
25.4,24969.80406216
25.5,25601.91766147
25.6,26250.03329272
25.7,26914.5560493
25.8,27595.90127955
25.9,28294.49484642
26,29010.77339363
26.1,29745.1846186
26.2,30498.18755224
26.3,31270.2528459
26.4,32061.86306553
26.5,32873.51299327
26.6,33705.70993675
26.7,34558.97404616
26.8,35433.83863934
26.9,36330.85053514
27,37250.57039519
27.1,38193.57307435
27.2,39160.44797999
27.3,40151.79944039
27.4,41168.2470825
27.5,42210.42621917
27.6,43278.9882463
27.7,44374.60104993
27.8,45497.94942373
27.9,46649.73549701
28,47830.67917355
28.1,49041.51858159
28.2,50283.01053518
28.3,51555.93100721
28.4,52861.07561441
28.5,54199.26011464
28.6,55571.32091678
28.7,56978.11560349
28.8,58420.52346724
28.9,59899.44605992
29,61415.80775627
29.1,62970.55633172
29.2,64564.66355475
29.3,66199.12579426
29.4,67874.96464235
29.5,69593.22755287
29.6,71354.98849605
29.7,73161.34862985
29.8,75013.43698814
29.9,76912.41118645
30,78859.45814546
30.1,80855.7948329
30.2,82902.66902419
30.3,85001.36008234
30.4,87153.17975756
30.5,89359.47300721
30.6,91621.61883639
30.7,93941.03115988
30.8,96319.15968588
30.9,98757.49082214
31,101257.54860499
31.1,103820.89565193
31.2,106449.13413832
31.3,109143.90679875
31.4,111906.89795387
31.5,114739.83456308
31.6,117644.487304
31.7,120622.67167914
31.8,123676.24915067
31.9,126807.12830393
32,130017.2660403
32.1,133308.66880037
32.2,136683.393818
32.3,140143.55040619
32.4,143691.30127545
32.5,147328.86388555
32.6,151058.51183154
32.7,154882.57626479
32.8,158803.44735007
32.9,162823.57575943
33,166945.474204
33.1,171171.71900448
33.2,175504.95170145
33.3,179947.88070641
33.4,184503.28299461
33.5,189174.00584077
33.6,193962.96859872
33.7,198873.16452607
33.8,203907.66265512
33.9,209069.60971109
34,214362.23207892
34.1,219788.83781989
34.2,225352.81873922
34.3,231057.65250612
34.4,236906.90482741
34.5,242904.23167618
34.6,249053.38157696
34.7,255358.1979486
34.8,261822.62150657
34.9,268450.69272603
35,275246.55436725
35.1,282214.45406499
35.2,289358.74698339
35.3,296683.89853807
35.4,304194.48718722
35.5,311895.20729323
35.6,319790.87205685
35.7,327886.41652558
35.8,336186.90067825
35.9,344697.51258765
36,353423.57166328
36.1,362370.53197611
36.2,371543.98566759
36.3,380949.66644489
36.4,390593.45316468
36.5,400481.3735076
36.6,410619.60774573
36.7,421014.49260551
36.8,431672.52522835
36.9,442600.36723159
37,453804.84887221
37.1,465292.97331598
37.2,477071.92101465
37.3,489149.05419395
37.4,501531.92145528
37.5,514228.26249377
37.6,527246.01293587
37.7,540593.30929936
37.8,554278.49407898
37.9,568310.12096069
38,582696.96016806
38.1,597448.00394393
38.2,612572.47217085
38.3,628079.8181338
38.4,643979.73442882
38.5,660282.15902118
38.6,676997.28145693
38.7,694135.54923172
38.8,711707.67432081
38.9,729724.63987441
39,748197.70708247
39.1,767138.42221337
39.2,786558.62383062
39.3,806470.45019242
39.4,826886.34683843
39.5,847819.07436865
39.6,869281.7164192
39.7,891287.68784004
39.8,913850.74307964
39.9,936984.98478205
40,960704.87260138
40.1,985025.23223969
40.2,1009961.26471345
40.3,1035528.55585467
40.4,1061743.08605262
40.5,1088621.24024202
40.6,1116179.8181442
40.7,1144436.04476746
40.8,1173407.58117324
40.9,1203112.53551492
41,1233569.47435593
41.1,1264797.43427451
41.2,1296815.93376216
41.3,1329644.98542335
41.4,1363305.10848404
41.5,1397817.34161689
41.6,1433203.25609105
41.7,1469484.969255
41.8,1506685.15836053
41.9,1544827.07473679
42,1583934.55832316
42.1,1624032.05256992
42.2,1665144.61971626
42.3,1707297.95645498
42.4,1750518.40999375
42.5,1794832.99452297
42.6,1840269.40810054
42.7,1886856.04996403
42.8,1934622.03828111
42.9,1983597.22834942
43,2033812.23125701
43.1,2085298.43301534
43.2,2138088.01417652
43.3,2192213.96994723
43.4,2247710.13081179
43.5,2304611.18367727
43.6,2362952.693554
43.7,2422771.12578485
43.8,2484103.86883719
43.9,2546989.25767201
44,2611466.5977044
44.1,2677576.18937081
44.2,2745359.35331807
44.3,2814858.45623019
44.4,2886116.93730886
44.5,2959179.33542443
44.6,3034091.3169541
44.7,3110899.70432492
44.8,3189652.50527931
44.9,3270398.9428815
45,3353189.48628351
45.1,3438075.88227003
45.2,3525111.18760183
45.3,3614349.80217798
45.4,3705847.50303756
45.5,3799661.47922211
45.6,3895850.36752065
45.7,3994474.28911958
45.8,4095594.88718036
45.9,4199275.36536857
46,4305580.52735814
46.1,4414576.81733585
46.2,4526332.36153106
46.3,4640917.01079683
46.4,4758402.38426903
46.5,4878861.91413053
46.6,5002370.89150879
46.7,5129006.51353523
46.8,5258847.93159595
46.9,5391976.30080395
47,5528474.83072366
47.1,5668428.83737971
47.2,5811925.79658212
47.3,5959055.39860163
47.4,6109909.60422898
47.5,6264582.70225341
47.6,6423171.3683962
47.7,6585774.72573622
47.8,6752494.40666496
47.9,6923434.61641022
48,7098702.19816764
48.1,7278406.69988129
48.2,7462660.4427146
48.3,7651578.59125479
48.4,7845279.22549455
48.5,8043883.41463574
48.6,8247515.29276171
48.7,8456302.13642504
48.8,8670374.44419961
48.9,8889866.01824646
49,9114914.0479444
49.1,9345659.19563792
49.2,9582245.68455574
49.3,9824821.38895494
49.4,10073537.92654732
49.5,10328550.75326528
49.6,10590019.26042687
49.7,10858106.8743606
49.8,11132981.15855215
49.9,11414813.9183771
50,11703781.30848475
