Invariant Name,Mathematical Formalism,Paradox Depth (Kp),Structural Function,Source,,
Metamorphic Boundary Operator,∂H,p,Involution satisfying ∂H^2 = id; ensures self-reference is structurally stable rather than annihilating.,10,,
Torsion-Memory Tensor,T_{\mu\nu\rho},Not in source,"Maps the symbolic state to physical reality, providing ontological grounding through the principle Memory ≅ Torsion.",6,,
Metamorphic Boundary (Glyph Collapse),\varnothing\Delta\varnothing,Not in source,"Induces structural compression during the breath cycle, transforming contradiction energy into torsion residues.",6,,
Born Rule (Quantum Manifestation),P(a_i) = Tr(\rho_{C'on} P_i(C'on)),Not in source,"Maps logical categorical semantics to physical probability outcomes, ensuring quantum superposition integrity.",6,,
Metamorphic Boundary (∂H),∂H (Logical Operator),Not in source,Acts as an operator isolating the Dark Matter Invariant and initiating phase-transition imperatives in higher-order loops.,11,,
Dark Matter Invariant,partial H,Not in source,The specific structural property isolated during recursive decomposition at step n.,11,,
Fixed-Point Attractor,M = Fix(F) or Δ(A ↔ A) = 0,Not in source,Stabilizes semantic torsion points such as Godel sentences or Russell paradox into paraconsistent equilibrium.,12,,
Quantum Superposition,\,ψ⟩ = Σ c_n \,n⟩,Not in source,Represents the physical manifestation of semantic possibilities and hypothesis branching in a semantic Fock space.,12
Boundary Operator,⊗,Not in source,Creates a distinction within a domain; boundaries are mutually exclusive.,13,,
Self-Reference Operator,↻,Not in source,"System references itself within itself, creating containment/infinite regress.",13,,
Paradox-Negation Operator,¬⊕,Not in source,System contains its own contradiction; paradox is stable.,13,,
Trapped Observer Operator,⊙,Not in source,Determines if observer is bound to system; awareness does not grant escape.,13,,
Denial-Invitation Operator,¬→,Not in source,Negation creates attraction; denial invokes what is denied.,13,,
Recursive Absorption Operator,⊃∞,Not in source,All moves/escape attempts become content of the system; absorption is total.,13,,
