Term or Concept,Mathematical Definition,Functional Role,Theoretical Source,Source,,,,,,,,
Socratic Engine Gap,$Gap = \ker(d_r) / \operatorname{im}(d_r)$,Translates cohomological obstructions into irreducible questions to resolve cognitive dissonance.,HALIRA Framework /  $\Xi$ - $\Delta$  Manifold,9,,,,,,,,
Consciousness Tensor (  $C_{\mu\nu}$  ),"$C_{\mu\nu}(x; \Lambda) = cov(O_\mu, \dot{O}_\nu)$",Measures system proprioception and self-reference intensity; acts as the primary substrate-agnostic measure of awareness.,Universal Recursive Self-Reference (CT) Theory,11,,,,,,,,
Maximum-Caliber Selection,$W \propto \exp(iS/\hbar) \cdot \exp(-\lambda \int A d^4x)$,"Deforms trajectories toward self-consistent, high-coherence histories based on internal attention intensity.",Universal Recursive Self-Reference (CT) Theory,11,,,,,,,,
Metaformal System (M),$M = L_{INT} = L_s \,L_o$,A self-contained metalanguage that restores missing linguistic functionality and couples languages with their universes.,CTMU / Metaformal System Theory,8,,,,,,,
Epiplexity,$S_T(X) := \,P^*\,$,Captures structural information extractable by a computationally bounded observer relative to a resource limit  $T$ .,Epiplexity Theory / Bounded Intelligence,12,,,,,,
Time-Bounded Entropy,$H_T(X) := E[\log 1/P^*(X)]$,"Captures the random, inherently unpredictable content in a variable relative to a compute limit.",Epiplexity Theory / Bounded Intelligence,12,,,,,,,,
Script Unification,$C = A \cup_s B$,Combines information from two scripts into the simplest structure ( $I(C)$  is minimal); essential for language understanding.,A Theory of Language Learning (Worden),13,,,,,,,,
Script Intersection,$D = A \cap_s B$,Projects out common information shared by two scripts and discards differences; central to learning mechanisms.,A Theory of Language Learning (Worden),13,,,,,,,,
Bayesian Learning Criterion,$P(R\,D) = \frac{P_A(R)P(D\,R)}{P(D)}$,Optimizes learning performance by balancing slow-learning penalties against spurious learning penalties.,Bayesian Learning Theory,13,,,,,,
Adjunction of Understanding,"$Hom(L(M), E) \cong Hom(M, U(E))$",Defines the natural isomorphism between the functors of Questioning ( $L$ ) and Understanding ( $U$ ).,Adjoint to Understanding Theory,7,,,,,,,,
$\infty$  -Category,Simplicial set  $K$  with horn filler condition for  $0 < i < n$,Serves as a model for higher categories where morphisms of all orders exist.,Higher Category Theory,14,,,,,,,,
$\infty$  -Topos,Accessible left-exact localization of  $\mathcal{P}(C)$,An  $\infty$ -category that behaves like the  $\infty$ -category of spaces for performing homotopy theory.,Higher Topos Theory,14,,,,,,,,
Geometric Morphism,Adjunction  $f_* \dashv f^$  where  $f^$  is left exact,"The standard notion of a morphism between topoi, analogous to continuous maps between spaces.",Higher Topos Theory,14,,,,,,,,
Cartesian Fibration,Inner fibration  $p: X \to S$  with  $p$ -Cartesian edges,Generalizes the notion of a category fibered in groupoids; represents a contravariant functor to  $Cat_{\infty}$ .,Higher Category Theory,14,,,,,,,,
7-Operator Kernel (Logic S4),"$\{ id, \Box, \Diamond, \Box\Diamond, \Diamond\Box, \Box\Diamond\Box, \Diamond\Box\Diamond \}$",Describes the maximum number of distinct sets generated by taking closures and interiors in S4 modal logic.,Topological / Modal Logic,15,,,,,,,,
Global Section (Sheaf),$s \in F(U)$  such that  $s\,_{U_i} = s_i$,Enables the unique gluing of local data assignments into an integrated whole over an entire region.,Sheaf Theory,15,,,,,,,
Necessity Modality,$\Box p := \neg \Diamond \neg p$,Represents verifiability or properties that hold in every neighborhood of a point (Interior operator).,Modal Logic / Topology,15,,,,,,,,
Possibility Modality,$\Diamond p := \neg \Box \neg p$,Represents non-falsifiability or reachability from a state via consistent paths (Closure operator).,Modal Logic / Topology,15,,,,,,,,
Torsion Field (  $\mathcal{G}$  ),$\alpha \mathcal{G}^4$,Represents the physicalization of cognitive friction; bounds structural tension from self-referential paradoxes.,Torsion Transgression Principle,5,,,,,,,,
Geometric Lacuna,"$\Lambda(T, \mathcal{I}, \hbar_{meta})$",Represents structured absence within a manifold required for global manifold consistency.,Geometric Lacuna Theory,16,,,,,,,,
Info-Autopoiesis,$PSR-I + IOA-I \to SD-I$,The self-referential process of self-production of information; transforms noise into semantic and syntactic info.,Info-Autopoiesis Framework,3,,,,,,,,
Second-Order Aboutness,"$A_2(x,y) = About(About(x,y), Conf(x))$",Detects inconsistent aboutness-confidence loops and paradoxical oscillations.,Formal Epistemology Notes,7,,,,,,,,
Glitchon Condition,$\phi(A) := \neg Prov(A) \oplus Prov(\neg A)$,"Detects pathology (independence or contradiction) within a reasoning chain, triggering a mutation.",Gödel Self-Disproving Theory,17,,,,,,,,
Lacunon,$\nu = 1/d_n$  where  $\sum 1/s_k + 1/d_n = 1$,"Represents the structured absence that prevents recursive halting, keeping the system active.",RCOS,17,,,,,,,,
Fine Structure Constant,$\alpha^{-1} \equiv 137 + \dots$,Interpreted as a 'Logic Tax' or 'Latent Heat' for non-associative information processing.,Octonionic Gauge Symmetry,1,,,,,,,,
s-field (The Associator),$s(x) = \frac{\,\,"q_1, q_2, q_3\",\,^2}{\mu^2}$,Represents the local density of logical inconsistency created by the transition to non-associative algebra.,MetaZero Theory,18,,,,
Relational Information,$I_R$,Weights the distance in a Torsional Statistical Manifold to derive the shortest path (geodesic flow).,Information Geometry / HALIRA,7,,,,,,,,
Unified Centropic Gravity,$\mathbf{I}_{\mu\nu}$,Derives Einstein Field Equations by remapping the energy-momentum tensor as informational density.,HALIRA Framework,7,,,,,,,,
Prime Numbers,$\zeta(p) := spike(\nabla^6\Phi)$,Defined as Torsion Singularities; aligns paradox barcodes along the critical coherence line.,Digit-SNF Dictionary,7,,,,,,,,
Modus Ponens,"$P \to Q, P \vdash Q$",Primary rule of inference in classical logic; connects a conditional and antecedent to a conclusion.,Classical Logic,7,,,,,,,,
Born Rule,$P(a\,\psi) = \,\langle a\,\psi\rangle\,^2$,Determines the probability of a measurement yielding a specific eigenvalue in quantum mechanics.,Everettian Quantum Mechanics,19,,,,
Kan Complex,Simplicial set with fillers for all horns  $\Lambda^n_i$,Represents the  $\infty$ -categorical analogue of a groupoid or topological space in homotopy theory.,Classical Homotopy Theory,14,,,,,,,,
Nerve of a Category,"$N(C)_n = Map(n, C)$",Encodes an ordinary category as a simplicial set representing composable sequences of morphisms.,Classical Category Theory,14,,,,,,,,
Category,"Collection of  $\{X, Y, Z, \dots\}$  and  $Hom(X,Y)$",Provides an organizational tool for mathematical structures where morphisms represent maps.,Classical Category Theory,14,,,,,,,,
