Model Name,Domain,Dimensionality,Primary Operator,Core Mathematical Concept,Emergent Phenomenon,Source
Non-Hermitian PT Symmetric System (Dimer),Quantum Mechanics / Optics,2-site (discrete),Non-Hermitian Hamiltonian ( $H = \delta I - J\sigma_x + i\gamma\sigma_z$ ),Exceptional Point (EP) Degeneracy,PT-symmetry breaking phase transition,17
Floquet PT-symmetric Dimer,Quantum Dynamics,2-site (discrete),Floquet Time Evolution Operator ( $G_F$ ),Square wave modulation / Periodic driving,Rich PT-phase profile; exceptional line contours,17
PT-symmetric Kitaev Chain,Topological Superconductors,1D Finite Chain,Kitaev Hamiltonian ( $H_K$ ),Superconducting order parameter ( $\Delta$ ),Re-entrant PT phase; Majorana modes,17
Oriented Elliptic Curve,Spectral Algebraic Geometry,1-dimensional,Bott map ( $\beta_e$ ),Formal completion at the identity section,Topological Modular Forms (TMF),18
Quillen Formal Group,Chromatic Homotopy Theory,1-dimensional,Dualizing line ( $\omega_G$ ),Complex oriented cohomology theory,Formal group laws over  $A$ -algebras,18
Minimalist Model (Merge),Generative Linguistics,1D (Linear ordering),Free Symmetric Merge / Coproduct  $\Delta$,Hopf algebras / Non-associative commutative magmas,Hierarchical syntactic structures,19
BHV Moduli Space System,Geometric Morphometrics / Linguistics,$n-2$  (polytope dimension),Origami folding projection ( $\Pi_n$ ),Stasheff associahedra / Simplicial complexes,Compatibility between externalization and semantics,19
Rumin complex on Heisenberg group,Parabolic Geometry,3D,Rumin differential ( $D_R$ ),Rockland complex,Mixed order differential complex behavior,20
Recursive Neural Tensor Network (RNTN),Natural Language Processing,$d$ -dimensional vector space,Tensor-based composition function,Bilinear forms and parse tree recursion,Compositional sentiment analysis,9
Matrix Vector RNN (MV-RNN),Natural Language Processing,$n$ -dimensional vector and matrix,Input-specific matrix-vector merging,Operator matrices and propositional logic approximation,Relationship classification; logical semantic composition,9
Syntactically Untied RNN,Natural Language Processing,$n$ -dimensional semantic space,Compositional Vector Grammar (CVG) operator,Conditioned weight matrices on child categories,Accurate syntactic parsing; semantic transfer,9
Two-sector Fock Space Model,Cognitive Science,Reality state-space,Membership projection operator  $M$,Entanglement and logical inversion in Fock space,Superposition of emergent and logical reasoning,21
Recursive Difference Categories,Foundations of Logic,Infinite branching memory streams,Modal operators  $\Box_S$,Lawvere–Tierney topologies / Sheaf topos  $Sh(M)$,Internalization of modal and Turing-complete semantics,22
Topos,Geometry and Logic,Reality state-space,Characteristic Function / Sheafification,Grothendieck Topologies / Heyting Algebras,Intuitionistic logic / Sheaf semantics,23
Vacuum Transfer Operator Model,Euclidean Quantum Gravity,Indefinite metric Krein space,"Transfer Operators ( $T_+$ ,  $T_-$ )",Gelfand Triple / BRST Cohomology,Resolution of conformal factor instability,5
Strictly Tangled Spectral Triple (ST2),Spectral Noncommutative Geometry,Finite directions,Collection of anticommuting operators ( $D_j$ ),Tropical combinatorics and weighted directed graphs,Anisotropy and varying orders of operators,20
Fuzzy Spectral Triple (Fuzzy Geometry),Quantum Gravity,Finite-dimensional resolution,Finite-dimensional Dirac Operator ( $D$ ),Matrix Algebra / Clifford Algebra,Quantization of geometry / random metric spaces,15
Berezin–Toeplitz Quantization,Quantum Error Correction,$2n$  (Kähler manifold),Toeplitz Operator ( $\Pi M_f \Pi$ ),Strict deformation quantization,Protection of quantum information,13
Holographic Spectral Code,Quantum Gravity,Bulk ( $d+1$ ) / Boundary ( $d$ ),Low-energy projection  $P = \chi_I(D)$,AdS/CFT correspondence,Semiclassical bulk spacetime as an error-correcting code,13
Distributed Quantum Gaussian Process,Machine Learning,High-dimensional Hilbert spaces,Riemannian ADMM / Distributed consensus,Quantum kernel functions / Network controllability,Scalable probabilistic modeling; computational speedup,24
Syntax-Semantics Renormalization,Theoretical Linguistics,High-dimensional semantic spaces,Birkhoff Factorization / Rota-Baxter Operators,Algebraic Renormalization / Bogolyubov preparation,Extraction of meaningful semantic values,19
Transformer Attention as Characters,Artificial Intelligence,Vector space dimensions,Attention Matrix / QKV transformations,Hopf algebra characters,Embedding of syntax inside semantics,19
Cayley Algebra,Abstract Algebra,"$2^r$  (e.g., 8D Octonions)",Multiplication Matrix,Invertible loops / Structure constants,Power-associativity / Non-abelian invertible loops,25
Strong Level-k Thinking,Game Theory / Neuroscience,Extensive-form state-space,Best Rationalizability Principle,Iterative reasoning / Theory-of-mind updating,Forward induction / intelligent agency behaviors,26
Twisted Hilbert Scale,Functional Analysis,$L^2$  / adjacent scale levels,Canonical Diagonal Operator,Zeta-regularized Determinant / Hurwitz Zeta Function,Half-Integer Fourier Modes / Spectral Flow,27
Nonconnective Spectral DM Stack,Spectral Algebraic Geometry,Not in source,Structure sheaf ( $\mathcal{O}_{top}$ ),Etale site of  $E_\infty$  rings,Oriented elliptic curves classification,18
Higher Order Spectral Triple (HOST),Spectral Noncommutative Geometry,Not in source,Dirac operator ( $D$ ) with order  $m$,Schatten ideals and Fredholm modules,Spectral characterization of manifolds,20
Bialgebroid of Merge Derivations,Computational Linguistics,Not in source,Minimal Search (Birkhoff factorization),Commutative bialgebroids / Laurent series rings,Elimination of Sideward/Countercyclic Merge,19
