Term,Definitions,GPT Assistance
RISEN Framework,"RISEN R - Role I - Instructions S - Steps E - End goal N - Narrowing The RISEN framework provides a structured approach to dissect complex or constrained tasks, such as blog posts or research projects, into actionable components for better execution and focus.",
RATIO Framework,"(ROLE, AUDIENCE, TASK, INSTRUCTIONS, OUTPUT )",
RODES Framework,"R - Role O - Objective D - Details E - Examples S - Sense Check While this is similar to the above prompt, this one is better used whenever you have good examples of your desired output.",
COSTAR Framework,"Context (C): Providing background information helps the LLM understand the specific scenario.
Objective (O): Clearly defining the task directs the LLM’s focus.
Style (S): Specifying the desired writing style aligns the LLM response.
Tone (T): Setting the tone ensures the response resonates with the required sentiment.
Audience (A): Identifying the intended audience tailors the LLM’s response to be targeted to an audience.
Response (R): Providing the response format, ensures the LLM outputs within a set of boundaries and restrictions that guide the model’s output.",
Golden Circle Framework,"(WHAT, WHY, and HOW) - Framework for determining purpose. https://www.businessmodelideas.com/blog/why-how-what-the-golden-circle-as-a-leadership-tool",
Rubric Approach,AI is guided or evaluated based on a set of predefined criteria or standards. The structuring of a prompt or multiple prompts. (Needs source),
Prompt Template Engineering,Designing a prompting function to improve task performance. https://doi.org/10.1145/3560815,
Manual Template Engineering,Creating intuitive templates based on human introspection. https://doi.org/10.1145/3560815,
Automated Template Learning,Automating the template design process to discover optimal prompts. https://doi.org/10.1145/3560815,
RACCCA Framework,"(Relevance, Accuracy, Completeness, Clarity, Coherence, Appropriateness) - For evaluating generative AI outputs. More on benchmarks below.  https://andrewmaynard.net/an-introduction-to-basic-prompt-engineering-with-chatgpt/",
Prompt Fine-Tuning,Fine and small adjustments to the prompt that make improvements to the output.,
Clarity  and  Precision,"Clear  and  precise  prompts  guide  the  AI  model’s  understanding,  impacting  tokenization  and  embedding.  They  help  ensure  accurate  embeddings  are  generated,  leading  to  more  relevant  responses.",
Contextual  Information,"Providing context within prompts helps the  AI  model  generate  accurate  and contextually fitting responses. Contextual information assists the model in forming  meaningful connection between tokens, improving its overall understanding and the quality of the generated output.",
Desired  Format,Prompt  engineering  can  indicate  the  expected  response  format.  This guidance assists the AI model in generating output that meets user expectations and follows a  specific structure or style.,
Verbosity  Control,"Managing  the  length  of  the  generated response is another aspect of prompt engineering. Instructions within the prompt can  encourage  the  AI  to  produce  concise  or  detailed  responses,  allowing for greater  control over the output  verbosity.",
Scaffolding ,"Breaking down a prompt into smaller, more focused questions or instructions to maintain focus and coherence.",
Fallback Pattern,Incorporating contingency plans or alternative approaches into prompts to manage unexpected or unsatisfactory responses from models.,
"Easy for You, Easy for It",Rememberable saying for when prompting that if a request is hard for you to do in a single task then you may need to do Output Layering or a multi-prompt/input strategy.,
"Put Smart, Get Smart",Rememberable saying that reminds you the more well-formulate your prompt is the higher quality your output will be. ,
The Divergent Intern,"A useful way of humanizing the AI that reminds you to prompt as though you talking to divergent ""HUMAN"" intern that needs the WHY, details, and context.",
The Collaborative Partner,A useful way of humanizing the AI that reminds you that prompting is a collaborative process and not a one way street.,
"The 10,000 Experts",A useful way of humanizing the AI that reminds you that the AI is over billion different experts all in one. Talking to it is like talking to a conference room of billion or even trillion perspectives. Defining the specific persona you want to talk to is important.,
Prompt Architecture,,
Composition,"The elements (questions, context, instructions) comprising the prompts of the architecture.",
Sequence,The order in which these elements or prompts are presented.,
Contextual Cues,Additional information provided to guide AI's understanding.,
Master Prompts,"Overarching prompts, information, or context that guide the prompt architecture and the elements or prompts within the architecture.",
Art of Prompting,,
Creativity,"The application of innovative thinking and experimentation in prompt crafting, adapting to users' diverse language styles to enhance engagement and response quality.",
Intuition,"Leveraging experience and observation to understand and apply the nuances that affect AI responses, improving prompt effectiveness.",
Iterative Refinement,"Continuously testing, analyzing, and adjusting prompts based on feedback to improve AI responses and performance.",
Personalization and Adaptation,"Tailoring prompts to individual user preferences, styles, and needs for more meaningful AI interactions.",
Collaboration and Interdisciplinary Knowledge,"Integrating expertise from various fields to craft accurate, context-rich prompts for enhanced AI interactions.",
Technical Knowledge,Applying insights about AI's workings to design effective prompts.,
Experiential Knowledge,Leveraging and applying insights from life experiences to achieve desired interaction or response.,
Strategic Thinking,Planning prompts to achieve a desired interaction or response.,
Types of Prompts,,
Reductive Prompts,Summarizing or condensing information.,
Transformative Prompts,Rewriting or changing existing content.,
Generative Prompts,Creating new content.,
Extractive Prompting,Type of Transformative and Reductive prompt where you are isolating pieces of info from a body of information.,
Evaluation Prompting,Type of Generative and Reductive prompt where you are evaluating information.,
Expansion Prompting,Type of Generative and Transformative prompt where you adding content to information.,
Discrete Prompts (Hard Prompts):,Templates described in natural language phrases. https://doi.org/10.1145/3560815,
Continuous Prompts (Soft Prompts),Prompts represented directly in the embedding space of a model. https://doi.org/10.1145/3560815,
Prompt Strategies,https://arxiv.org/pdf/2303.12712.pdf ,
Priming Prompt,The act of giving context first before making the prompt request.  In other words setting a preliminary context to influence subsequent responses.,
Example or Shot Prompting,Provide an example of the desired output for context and to guide the model.,
Few-Shot (Multi-shot) Prompting,Providing multiple examples of the desired output or format to guide the model. (Source Needed),
Persona Prompting (Act as or Simulate),Provide context by having the AI adopt a certain persona or expertise to provide responses. Instructing the model to adopt alternate personalities or roles.,
Goal Prompting,Provide context by providing the AI with end goal(s).,
Task or Recipe Prompting,Provide context and CoT by providing the AI with the tasks needed to complete the goal. https://arxiv.org/abs/2302.11382,
Task Breakdown,"MAIN, TASK, DOs, DONTs ",
Negative Avoidance Prompting,"The art of declaring what you do NOT want or moving away from a non-desired output without stating the undesired outcome explicitly or using any negative prompting such as ""NOT"".",
WHY Prompting,Provide context by providing the AI with the situation of WHY you are prompting.,
Keyword (Vector) Prompting ,"The usage of specific keywords related to the task, goal, or subject area of the prompt to fine-tune the prompt into the desired vector space.",
Fact Check or Expertise Prompting,"Provide subject area information for context, fine-tuning, and to ensure output accuracy and reduce hallucinations.  https://arxiv.org/abs/2302.11382",
Variable Prompting,The process of using variables in your prompts to define or organize information or change information conditionally.,
Template Prompting,Provide format or structure examples to ensure output matches required format. https://arxiv.org/abs/2302.11382,
Delimiter Prompting ,"This is the use of symbols ""(), [], {}, *, "", and/or <>"" and titles to organize and define parts of a prompt.  https://andrewmaynard.net/useful-chatgpt-capabilities-and-prompt-strategies/",
Reflection or Reasoning Prompting (Maieutic/Self-refine Prompting),Process of having the AI model explain its reasoning. Used to validate output or increase accuracy of the output. Uncover assumptions and biases. https://arxiv.org/abs/2302.11382,
Contextual Absences (Context Manager),The purposeful removal of context in order to prevent leading or confusing the AI. Used to reduce bias or assumption. Context manager refers to the adding and removing of context.,
Situational or Scenario-Based Prompting,"Reflects the use of specific, sometimes extreme, situations to shape the AI's responses. Used to evoke empathy and for providing more thorough responses. (Jonathan Kyle Hobson)",
Deliberative Prompting (Reflective Pausing),"Instructs the AI to 'take a deep breath' or 'slow down and think', aiming to encourage a more deliberate, thoughtful, and detailed response from the AI. (Jonathan Kyle Hobson)",
Adjective-Driven Prompting,Highlights that the prompting method relies on adjectives to define the desired response's depth or breadth. (Jonathan Kyle Hobson),
Constraint based prompting,"Involves adding constraints or conditions to your prompts, helping the language model focus on specific aspects or requirements when generating a response. https://andrewmaynard.net/an-introduction-to-basic-prompt-engineering-with-chatgpt/",
Comparative prompt,"Use of ""compare"", ""rank"", or ""pros and cons"" when attempting to do Evaluation Prompting to receive clearer more thorough outputs. https://andrewmaynard.net/an-introduction-to-basic-prompt-engineering-with-chatgpt/",
Prompt Injection,The use of prompt within prompts to provide additional instructions or parameters. See Prompt Injection.,
Repetitive Prompting,The act of repeating your prompts twice or multiple times especially when you have large complex context window or prompt structure and you want to ensure certain instructions do not become lost or missed. ,
Refusal Breaker,"Rephrase prompt or suggest alternative prompts when an LLM refuses to provide an answer, enhancing user-LLM interaction and overcoming communication barriers. https://arxiv.org/abs/2302.11382",
Ambiguity reduction,"Act of provide context, constraints, or additional strategies in order to reduce ambiguity and promote clarity in your prompt.  https://andrewmaynard.net/an-introduction-to-basic-prompt-engineering-with-chatgpt/",
Explicit Instruction,Clearly instructing the model on how to approach a task.,
System Query,Asking the model to think through a problem step by step or debate pros and cons.,
Domain Priming,Specifying the domain or context of the desired response.,
Redirection,"Refining, rephrasing, or adding constraints to prompt the model towards desired outcomes.",
Constraint Application,Applying explicit boundaries in the prompt to control AI behavior and mitigate biases.,
Structured Data Input,Leveraging the model's ability to analyze and process structured data.,
31,,
Multi-prompt Strategies,,
Sequential (Linear) Prompting,Sending multiple prompts in sequential/linear order in the same input or different inputs. Often times delivering prompts in a specific sequence to build on AI's responses. https://www.linkedin.com/pulse/intelligent-user-experiences-merging-ai-interaction-hobson,
Parallel Prompting,Sending multiple prompts in at the same time in parallel side by side order in the same input or different inputs. https://www.linkedin.com/pulse/intelligent-user-experiences-merging-ai-interaction-hobson,
Conditional Prompting,Sending certain prompts based on certain conditions being met. https://www.linkedin.com/pulse/intelligent-user-experiences-merging-ai-interaction-hobson,
Contextual Prompting,"Sending a dedicated prompt for fine-tuning and establishing context before or with sending the actually prompt. Also called ""Priming"". https://www.linkedin.com/pulse/intelligent-user-experiences-merging-ai-interaction-hobson",
Constraint Prompting,Specific prompt set with specific rules or constraints to designed to limit or guide the output. https://www.linkedin.com/pulse/intelligent-user-experiences-merging-ai-interaction-hobson,
Multi-shot Prompting (multi-input strategies),Sending prompts in multiple different inputs. Typically using the output from one prompt as input for another prompt. (Needs source) ,
Output Layering,Build upon the AI outputs for complex tasks.,
Shotgun Generation,Sending a variety of prompts and selecting the best response. (Needs source),
Infinite Generation,Building a single set of prompts designed for multiple inputs that doesn't need to change or be altered. https://arxiv.org/abs/2302.11382,
Multi-step Interactions,"Involving a series of prompts and responses to facilitate dynamic, conversational exchanges.",
10,,
"Meta-Prompt, Multi-input, or Fine-tuning Strategies",,
Self-discover Framework,A method for allowing AI to modify the prompt and choose the best approach. https://arxiv.org/abs/2402.03620,
Domain-Specific Language (DSL) Creation,"Enables an LLM to create its own domain-specific language (DSL) for describing and manipulating system concepts, which can then be used by both the LLM and users for further interactions. https://arxiv.org/abs/2303.07839",
Few-shot Code Example Generation,"Generate a few-shot examples of usage of a system, such as a REST API, to train the LLM on proper usage and provide concise and meaningful examples for later prompts. https://arxiv.org/abs/2303.07839",
Prompt Ensembling,"Using multiple prompts to make predictions, improving the efficacy of prompting methods. https://doi.org/10.1145/3560815",
Prompt Augmentation (Demonstration Learning),Adding answered prompts to demonstrate the desired answer. https://doi.org/10.1145/3560815,
Prompt Composition,Composing a prompt based on multiple sub-prompts for complex tasks. https://doi.org/10.1145/3560815,
Prompt Decomposition,Breaking down a complex prompt into simpler sub-prompts. https://doi.org/10.1145/3560815,
Meta-Prompting,"Providing the AI with a benchmark, reasoning model, knowledge of its own behavior, and/or your experience with it inorder to have it develop or adapt its own prompts.",
Contextual Adjustment,Refers to the modification of prompts based on additional context often to reach a desired output.,
Bias Mitigation or Awareness,"This involves strategies and techniques to reduce, bring to attention, or eliminate biases in AI responses. ",
Prompt Modification or Poly-Prompting,The act of a users prompt being edited or changed before being sent to the AI system in order to achieve a desired outcome. (e.g. Adobe does this to prompts to increase inclusivity and decrease biases),
Temperature and Top-k Sampling,Adjusting parameters to control the randomness of the model's output.,
RAT (Retrieval Augmented Thoughts) ,"Combines RAG & CoT by applying the retrieval process (like RAG) at each step of the CoT reasoning process. So instead of retrieving information just once, RAT retrieves relevant information continuously at each step of the reasoning chain. This approach aims to improve the accuracy and reliability of the model's reasoning by ensuring that each intermediate step is informed by the most relevant and factual information available.",
13,,
Challenges  and  Opportunities,,
Addressing Biases and Ethical Concerns,Identifying and mitigating biases or surfacing biases in AI outputs while integrating ethical standards to promote fairness and responsibility.,
Handling Specialized Domains,Enhancing AI prompts for accuracy in specialized fields like law or medicine through expert collaboration.,
Adapting to Evolving AI Capabilities,Updating prompt strategies to align with the latest AI developments for improved effectiveness.,
PLEASE TAKE THIS SURVEY:,https://asu.co1.qualtrics.com/jfe/form/SV_6ilZ8tvvFH7BRZk,
,,
Conversational Design,https://www.youtube.com/watch?v=OV3qmkVuLxk https://www.youtube.com/watch?v=vafh50qmWMM ,https://chat.openai.com/g/g-optOr9gG3-reasoning-architect-gpt
Conversational Design,"The practice of creating natural, interactive conversations between users and systems, focusing on designing both the flow of the conversation and the specific language used. The practice of designing interactive experiences that enable computers to communicate with humans in a natural and human-like way.",
Socio-linguistics,"A subdiscipline of linguistics focusing on the use of language in social contexts, examining how social interactions influence the way language is used and understood.",
Conversational Repair,The process of correcting misunderstandings or clarifying ambiguities in conversation to ensure mutual understanding.,
Conversational UI,"The graphical interface aspects of conversational systems, including how messages and interactions are visually organized and presented to users.",
Linguistic Diversity,"The inclusion and support of multiple languages and dialects within a conversational system, ensuring it can understand and respond to a wide range of users.",
Interaction Flows,"The sequence and structure of exchanges in a conversation, designed to guide the user towards accomplishing specific tasks or goals.",
Discourse Markers,"Words or phrases used in conversation to organize discourse, indicate cognitive processes, or manage the flow of conversation, such as ""um,"" ""oh,"" and ""well.""",
Brand Persona,"The representation of an organization's brand identity through conversational style and tone, ensuring consistency across user interactions.",
Action-Driven Conversations,"Conversations designed with the purpose of leading to specific actions or outcomes, focusing on facilitating tasks or achieving goals through interaction.",
Linguistic Bias,"The preconception that certain ways of speaking or writing are superior to others, which can influence conversational design decisions and potentially alienate users.",
Turn-Taking,"The mechanism by which speakers alternate in a conversation, crucial for structuring dialogues and ensuring interactive exchanges.",
Multimodal Conversation Design,"Designing conversations that can occur across multiple modes of communication, such as text, voice, and visual gestures, allowing for richer interactions.",
Inclusivity in Conversation Design,"The practice of designing conversational interfaces that accommodate and respect the diversity of users, including their languages, dialects, cultural norms, and communication preferences.",
Cooperative Principle,A principle stating that participants in a conversation naturally attempt to help each other and be cooperative.,
Maxim of Relevance,A rule suggesting that contributions to a conversation must be relevant to the current context or discourse.,
Sample Dialogue,A scripted interaction or dialogue intended to demonstrate how a conversational interface might handle a specific exchange with a user.,
Ambiguity of Language,The characteristic of language where words or phrases can have multiple interpretations based on context.,
Pauses,"The intentional or natural breaks in conversation that convey information such as hesitation, uncertainty, or processing time.",
Conversational Actions,"Custom experiences built for platforms like Google Assistant, allowing users to interact with services or information through conversational input.",
Voice User Interface (VUI),An interface that allows users to interact with digital services through voice commands rather than traditional graphical user interfaces.,
Smart Display,A device equipped with a screen that supports voice commands but also displays visual information or responses.,
Voice-forward Device,Devices primarily operated through voice commands but also capable of displaying visual feedback or information.,
Subvocalization,"The technology or practice of detecting and interpreting subvocalized speech—speech made without audible sound, as in thinking to oneself.",
Silent Speech,"Technologies or methods that allow for communication or command input without vocalizing sound, aiming to maintain privacy in public spaces.",
Escalated Errors,A design strategy in conversational interfaces where the system offers increasingly specific prompts or suggestions in response to user confusion or errors.,
Utterance,An utterance is a phrase that a user might say (or type) to interact with an agent.,
Intent,An intent represents an action that a user might want to take. Each intent includes a collection of associated utterances. These utterances will be analyzed to determine whether a user triggers the associated intent with any of their interactions.,
Entity,Used to builds an utterances that can resolve a dynamic value. Entities represent a value that can be provided by the user during their interaction with the system.,
Interaction Model,"This represents the overall model for all paths that can be taken for designed conversation. It contains the definitions for all intents, utterances and entities.",
,,
Universal Screen Descripter,,
,,
,,
Reasoning Models or Structures,https://arxiv.org/abs/2402.03620,https://chat.openai.com/g/g-optOr9gG3-reasoning-architect-gpt
Chain of Thought (CoT),Step-by-step reasoning process. ,
Tree of Thought (ToT),Branching reasoning paths. ,
Scratchpad Reasoning,Visual or schematic reasoning. ,
Question Summarization (Cognitive Verifier),"Simplifies complex questions/prompts into more manageable, core inquiries. https://arxiv.org/abs/2302.11382 ",
Question Decomposition,"Breaks down complex questions/prompts into smaller, more manageable sub-questions. ",
Program Generation,Generates code or algorithmic sequences to address tasks. ,
Plan and Solve (P&S),Involves creating a plan before executing the solution. ,
Least to Most (LtM),Tackles problems by starting with the simplest aspects and gradually increasing complexity. ,
Decomposed Prompting,"Breaks tasks into smaller, more manageable components. ",
Additional Reasoning Models,,
Logical and Analytical Reasoning,,
Analogical Reasoning,Inferring new knowledge based on the similarity between two situations.,"Problem-solving in design, psychology, creative fields."
Counterfactual Reasoning,Considering alternative realities and the outcomes of events that did not happen.,"Philosophy, psychology, strategic planning."
Narrative Reasoning,Constructing and interpreting stories and narratives to make sense of events and actions.,"Literature, history, therapy, branding."
Holistic Reasoning,Considering all parts of a problem or system as interconnected.,"Global thinking, management, environmental analysis."
Intuitive Reasoning,"Making judgments without apparent logical structure, based on experience.","Creative arts, emergency responses, leadership."
,,
Deductive Reasoning,Drawing specific conclusions from general statements or premises.,"Mathematics, logic, programming."
Inductive Reasoning,Making broad generalizations from specific observations.,"Science, sociology, market analysis."
Abductive Reasoning,Forming hypotheses to explain observations.,"Diagnostic fields, detective work, AI development."
Syllogistic Reasoning,Deductive reasoning that applies major and minor premises to reach a conclusion.,"Logic, philosophy, mathematics."
Probabilistic Reasoning,Making decisions or inferences based on probabilities.,"Statistics, risk analysis, AI."
Computational Reasoning,Solving problems using the logical and algorithmic methods of computer science.,"Computer science, data analysis."
Scientific and Empirical Reasoning,,
Causal Reasoning,Understanding and establishing relationships between cause and effect.,"Science, history, law, medicine."
Systems Thinking,Understanding complex systems through the interactions and relationships between their parts.,"Management, environmental analysis, policy design."
Ecological Reasoning,Making decisions based on the understanding of ecological systems and their dynamics.,"Environmental science, sustainability planning."
Evolutionary Reasoning,Using concepts of evolution and natural selection to understand problems or behaviors.,"Biology, anthropology, behavioral economics."
Experiential Reasoning,Drawing on personal experiences and direct interactions with the world to inform decisions.,"Clinical psychology, medical diagnosis, artistic creation."
,,
Temporal and Spatial Reasoning,,
Spatial Reasoning,Understanding and remembering the spatial relations among objects.,"Architecture, engineering, navigation."
Temporal Reasoning,"Understanding and reasoning about time, sequences of events, and their relationships.","History, planning, project management."
Social and Ethical Reasoning,,
Normative Reasoning,Determining the rightness or wrongness of actions based on moral principles.,"Ethics, law, moral philosophy."
Ecological Reasoning,Making decisions based on the understanding of ecological systems and their dynamics.,"Environmental science, sustainability planning."
Interdisciplinary and Complex Reasoning,,
Transactive Reasoning,Engaging in thought processes through interaction with others.,"Education, collaborative work environments."
Multimodal Reasoning,"Integrating different types of information (visual, auditory, etc.) to make decisions.","Robotics, AI, human-computer interaction."
Quantum Reasoning,Applying principles of quantum mechanics to process information and solve problems.,"Quantum computing, theoretical physics."
Interdisciplinary Reasoning,Integrating methods and perspectives from multiple disciplines to solve problems.,"Research, innovation, policy analysis."
Systems Thinking,Understanding complex systems through the interactions and relationships between their parts.,"Management, environmental analysis, policy design."
Reflective Reasoning,"Deliberate thinking and consideration, often questioning one's own thoughts and processes.","Education, philosophy, personal development."
Parallel Reasoning,Processing multiple streams of information or problems simultaneously.,"Computing, multitasking in various professions."
Dialectical Reasoning,Resolving contradictions through logical discussion and synthesis.,"Philosophy, debate, critical thinking."
Additional Thinking Systems/Structures,,
Integrated Reasoning,"A multi-faceted approach that combines quantitative, verbal, and analytical reasoning simultaneously.","Business, management, education."
Critical Systems Thinking (CST),"An approach that combines systems thinking with critical theory, focusing on reflective questioning and social awareness.","Policy analysis, social sciences, organizational change."
Meta-Reasoning,The process of reflecting on and controlling one’s own reasoning and decision-making processes.,"AI development, cognitive sciences, personal development."
Cross-Domain Reasoning,Applying reasoning models and strategies across different fields or domains to generate innovative solutions.,"Interdisciplinary research, innovation, strategic planning."
Complex Adaptive Systems (CAS) Thinking,Understanding how components of a system adapt and interact with each other in dynamic and unpredictable environments.,"Ecology, economics, organizational behavior."
Design Thinking,"A solution-focused, iterative process that involves understanding user needs, redefining problems, and creating innovative solutions to prototype and test.","Product design, business strategy, education."
Strategic Reasoning,Planning and decision-making that considers long-term outcomes and the broader impacts of actions.,"Business strategy, military tactics, game theory."
Heuristic-Systematic Model,"A dual-process theory describing two modes of thinking: heuristic (quick, intuitive) and systematic (detailed, analytical).","Psychology, advertising, decision-making."
Computational Thinking,A method of problem-solving that involves expressing problems and their solutions in ways that a computer could execute.,"Computer science, education, data analysis."
Reflective Practice,A continuous process where individuals consider their experiences to engage in a process of continuous learning.,"Professional development, education, healthcare."
Thinking Frameworks,,
Reflective Judgment Model,Stages of reasoning development where individuals move from pre-reflective to quasi-reflective and finally to reflective thinking.,"Higher education, professional development, ethical decision-making."
SOAR Analysis,"A strategic planning tool that focuses on Strengths, Opportunities, Aspirations, and Results to encourage constructive discussion and forward-thinking.","Business strategy, community planning, personal growth."
Facione’s Core Critical Thinking Skills,"Identifying analysis, evaluation, inference, explanation, and self-regulation as essential components of critical thinking.","Educational curricula, training programs, leadership development."
Paul-Elder Critical Thinking Framework,"Emphasizing the importance of elements of thought (purpose, question, information, interpretation, etc.) and intellectual standards (clarity, accuracy, precision, etc.).","Academic research, education, professional training."
Argument Mapping,"A visual representation of the structure of arguments, showing the relationship between different claims and evidence.","Debate preparation, legal analysis, educational instruction."
Bloom’s Taxonomy,A classification system of cognitive skills that range from basic (remembering) to advanced (creating) to foster higher forms of thinking.,"Curriculum design, assessment creation, instructional strategies."
Critical Discourse Analysis,"Analyzing written, spoken, or sign language use to reveal social and psychological dynamics.","Linguistics, media studies, social science research."
Heuristics and Biases Framework,Understanding how people make decisions and the systematic errors they often make.,"Psychology, market research, behavioral economics."
TRIZ (Theory of Inventive Problem Solving),"A problem-solving, analysis, and forecasting tool derived from the study of patterns of invention in the global patent literature.","Engineering, product development, creative problem-solving."
Root Cause Analysis,"Identifying the primary cause of a problem, rather than addressing its symptoms.","Quality control, healthcare, project management."
Socratic Questioning,"A disciplined questioning process aimed at uncovering truths, revealing underlying assumptions, and separating knowledge from belief.","Education, therapy, coaching."
Six Thinking Hats,A role-playing model that encourages individuals to approach problems from different perspectives.,"Team meetings, brainstorming sessions, conflict resolution."
Critical Realism,"A philosophical approach that differentiates between the 'real' world and the 'observable' world, focusing on the underlying mechanisms causing events.","Social sciences, humanities, complex systems analysis."
Emotional Thinking Frameworks,,
Goleman’s EI Framework,"Identifies emotional intelligence as comprising self-awareness, self-regulation, internal motivation, empathy, and social skills.","Leadership development, team building, personal growth."
Mayer and Salovey’s Four-Branch Model,"Conceptualizes EI in terms of perceiving emotions, using emotions to facilitate thought, understanding emotions, and managing emotions.","Educational settings, therapy, conflict resolution."
Compassion Focused Therapy (CFT),Encourages the development of self-compassion and compassionate reasoning to alleviate mental health issues.,"Psychotherapy, stress management, self-care practices."
Nonviolent Communication (NVC),A communication process developed by Marshall Rosenberg that focuses on empathy and expressing needs and feelings openly.,"Mediation, counseling, interpersonal relationships."
Emotional Contagion Theory,"Explores how individuals tend to 'catch' emotions from others, highlighting the importance of understanding and managing emotional influences.","Organizational behavior, marketing, public relations."
Affective Reasoning,"Involves making decisions based on feelings, emotions, and mood rather than objective information.","Artistic expression, design thinking, customer service."
Social Intuition Model,Suggests that intuitive judgments in social contexts are often guided by emotions and feelings.,"Social psychology, marketing strategies, human resources."
Empathic Accuracy Model,Focuses on the ability to accurately understand and perceive the emotions and thoughts of others.,"Interpersonal communication, therapy, negotiation."
Emotional Aperture Measure,Assesses an individual's ability to recognize collective emotions within groups or social systems.,"Team dynamics, leadership, organizational development."
Barrett’s Theory of Constructed Emotion,"Proposes that emotions are constructed from more basic parts and are not universal, emphasizing the role of context and interpretation.","Cross-cultural communication, emotional literacy programs, AI emotion recognition."
Innovative Thinking Models/Structures,,
