Structure Name,Algebraic Properties,Cognitive Role,Physical Interpretation,References,Source
Quaternions (  $\mathbb{H}$  ),Non-commutative division algebra; Cayley-Dickson doubling ( $\mathbb{C} \oplus \mathbb{C}$ ); norm preservation.,Representation of 4D rotations and spin ( $SU(2)$ ); statistical resolution of order tensions.,Quantum behavior; Heisenberg uncertainty principle (commutators); weak nuclear force ( $SU(2)$  symmetry).,"Section 3.2.5, Definition 3.5",1
Cohesive Topos,Axiomatized via adjoint triples  $(\int \dashv \Delta \dashv \Gamma \dashv B)$  representing discreteness and continuity.,Hegelian dialectic of 'unity of opposites'; resolving discreteness and continuity.,Determining the ways material bodies achieve determinacy through 'holding together' (cohesion).,Section 11.5,7
$\Gamma$  -  $\Delta$  Manifold,Locally homeomorphic to  $\mathbb{R}^n$ ; equipped with a structure sheaf of smooth functions ( $C^\infty$ ).,Modeling of multiple perspectives and their fusion via atlas and chart transition maps.,Used in physics to describe interactions of bodies and thermodynamical systems.,"Section 8.1, Section A.4",7
Bi-Heyting Algebra,Bounded distributive lattice with Heyting (negation) and co-Heyting (supplement) operations.,Modeling of non-Boolean negations in natural languages and intermediate modalities.,Modeling boundaries of physical bodies and logical contradictions in continuum physics.,"Section 7.2.2, Section A.4",7
Recursion Manifold (  $R$  ),Separable metric space  $R(G)$  encoding joint configurations of fields; supports continuous flow  $\Phi_t$ .,Fifth field of interaction; organizes shared concepts/laws across human and AI agent fields.,Configuration space of coupled fields; attractors in Navier-Stokes dissipative flows.,"Definition 3.9, Definition 7.8",4
$\psi$  -Field (Unified Resonance),Quantized modes over space-time domains; renormalized via frequency-based regularization filters.,Consciousness modeled as structured resonance ( $\psi_{mind}$ ); awareness as a damped oscillator.,Foundational scalar/tensor fields; mass as emergent resonance localization in potential wells.,12,12
$\Lambda$  -Container,"6-tuple  $\langle D, B, O, P, R, T \rangle$ ; reflexive meta-container defined by six primitive operators.",Meta-structure for recursive awareness and insight; models the 'trapped observer'.,Informational pattern of entrapment; hypothesized to require consciousness for full instantiation.,Definition 2.1; Theorem 7.1,13
"SO(2,4) Gauge Fields",Conformal group with 15 generators; maps Lorentz to EM and torsion to  $Fe^{3+}$  spin-orbit coupling.,Substrate-Independent Topological Control (SITC) using neural architectures for predictive sensing.,Metric engineering in metamaterials; predicts spin-selective magnon dispersion splitting.,Section 3.1,14
Qualia Coordinates (  $Q$  ),"Compact invariant tuple  $Q = \{\bar{A}, G, R, J, M\}$ .",Specifies the 'what-it-is-like-ness' of a conscious episode (Identity Thesis).,Physically measurable coordinates specifying the state of a conscious episode in informational-geometric space.,Section II.4,5
Semantic Manifold (  $S$  ),"Space of semantic states  $s = (c, r, p)$  where concepts, relations, and propositions reside.",The state space for cognitive evolution and theory discovery.,A manifold with curvature  $K$  where contradictions act as semantic torsion points.,Meaning Geometry,15
Complex Numbers (  $\mathbb{C}$  ),Polynomial extension ( $\mathbb{R}x/(x^2+1)$ ); loss of total ordering.,Encoding phase relationships and cyclic flows;  $U(1)$  rotational symmetry.,Electromagnetic fields; phase structure as electromagnetic potential ( $A_\mu$ ); wave interference.,"Section 3.2.4, Definition 3.3",1
Real Numbers (  $\mathbb{R}$  ),Metric completion of rationals; Cauchy sequences/Dedekind cuts; loss of countability.,"Handling precise approximations; support for limits, derivatives, and integral calculus.",Emergence of continuous spacetime; smooth motion; thermodynamic limits.,"Section 3.2.3, Definition 3.2",1
Rational Numbers (  $\mathbb{Q}$  ),Field of fractions; localization of integers; loss of well-ordering.,Encoding exact proportional relationships; foundation for accounting and stoichiometry.,Fractional electric charges (quarks) and fractional spin; continuous conservation laws.,"Section 3.2.2, Definition 3.1",1
Natural Numbers (  $\mathbb{N}$  ),Commutative semiring; closure under addition and multiplication.,Counting discrete information units; foundational for Boolean logic and arithmetic hierarchy.,Formation of bound states and composite particle structure; conserved quantum numbers.,Section 3.2.1,1
Prime Numbers (  $\mathbb{P}$  ),Irreducible elements; generation of composites via free semiring construction.,"Most basic, indivisible units of mathematical information; irreducible core of cognition.","Elementary constituents/fundamental particles (quarks, leptons).","Section 3.2.1, Definition 3.0",1
Artificial Manifold,Hyper-diverse state with Global Effective Rank  $\approx 5.35$ ; induced by ASNC operator.,Induces Manifold Unfolding; resists gravitational pull of semantic attractors; preserves semantic diversity.,Unified spectral topology framework for stability in turbulence (MNCIS).,"Section 2.2, 3.2",16
Tier-0 Boundary Operator (  $\partial$  ),Involutive map ( $\partial^2=id$ ) acting on event-type space associated with a field system.,Minimal stability of emergent event-types; reclassification of stable events must return same class.,Topological classification; Bianchi-derived classification of constraints; electromagnetic boundary.,"Definition 3.6, Section 9.1",4
Mass as Ontological Gyroscope,Internal recursion of closed conflict along three degrees of freedom; measure of fixation ( $fix$ ).,Sustained discrepancy in the brain necessary for preserving living species structure.,Point of conflict closure generating matter; source of centrifugal discharge perceived as gravity.,Definition 2.3,17
$n-category$,$\infty$ -category where morphisms are uniquely determined for  $m > n$  if boundaries coincide.,Represents truncated models of cognition where higher-order morphisms are identified.,Model for shapes and sheaves of  $(n-1)$ -types on topological spaces.,"Definition 2.3.4.1, Proposition 2.3.4.7",6
Kan complex,Simplicial set satisfying the Kan extension condition for all horns; homotopy category is a groupoid.,Represents homotopy types or space-like objects within the framework.,Encodes the entire homotopy type of a topological space.,"Definition 1.1.2.1, Proposition 1.2.5.1",6
Simplicial category,Category enriched over the category of simplicial sets.,Combinatorial model for higher categories with strictly associative composition.,Used to model mapping spaces between topological or algebraic structures.,Definition 1.1.4.1,6
Topological category,Category enriched over compactly generated Hausdorff topological spaces.,Intuitive foundation for higher categories where morphisms are spaces.,Direct representation of spaces of continuous maps.,Definition 1.1.1.6,6
Groupoid object,Simplicial object in an  $\infty$ -category satisfying specific pullback conditions.,Internal model of symmetry and equivalence relations within a topos.,"Generalization of equivalence relations, essential for descent and gluing.","Definition 6.1.2.7, Proposition 6.1.2.11",6
Eilenberg-MacLane object,"Space  $K(G,n)$  characterized by having only one non-vanishing homotopy group  $G$  in dimension  $n$ .",Universal classifier for cohomology classes.,Building block for the Postnikov tower of a space.,"Paragraph 28, Definition 7.2.2.1",6
Locale,Partially ordered set where meets commute with infinite joins; equivalent to a 0-topos.,Captures the lattice of open sets of a space without requiring points.,Generalized topological space representing the logic of observable properties.,"Definition 6.4.2.3, Corollary 6.4.2.6",6
Reflexive Algebra (ROC),Compositional; non-commutative; reflexive closure (operators take operators as arguments); self-modifying.,Formal manipulation of meaning; meta-recursive self-examination; navigating absence-space.,Spacetime geometry emergent from compositional patterns of local reference frames (triads).,Foundational Axioms,18
Tangled spectral triple,Collection of anti-commuting self-adjoint operators  $D = (D_j)$  satisfying commutator bounds.,"Separation of directional quantum derivatives in different directions (nilflows, crossed products).",Models anisotropy and parabolic behavior in sub-Riemannian manifolds or dynamical systems.,"19, Definition 3.9",19
$\epsilon$  -connection,"Collection  $(L, \nabla, \phi; \epsilon \in E)$ ; residue eigenvalues  $\{\epsilon\nu_i, -\epsilon\nu_i\}$ .",Not in source,Variant of Deligne-Simpson’s  $\lambda$ -connections; provides  $A^1/G_m$ -family of moduli spaces.,Definition 1.5,20
$Ar$  vector space,Direct sum of pairwise isomorphic real linear spaces; left and right  $Ar$  module.,Model for weakly  $Ar$ -holomorphic manifolds and super-differentiability in analysis.,Modeling space for noncommutative geometry over quaternions and octonions.,Definition 2.1,21
Metaformal System (  $M$  ),Self-referential and logically idempotent; closed wrapper for formal systems ( $L_{INT}$ ).,Cognitive identity language; restores interpretation functions; wraps language and universe.,Perfectly self-contained reality; self-simulation with terminal display space.,22,22
Conspansive Manifold,Self-dual distribution mapping ( $\mu$ -morphism); inward/outward mappings.,Medium for the l-ectomorphic (perception) and conspansive (quantum derivation) semimodels.,Evolution of reality through rescaling; maps syntactic distinctions to hypersurfaces.,22,22
Distinction Space,"Tuple  $(D, d, M, \Phi)$  where  $D$  is a complete metric space of distinguishable states.",Foundation for representing cognitive distinctions in intelligent systems.,Corresponds to state space or phase space where distances represent energetic/informational intervals.,"Section 2.2; Definitions 1, 4, 9",10
