Component/Asset Name,Mathematical Model/Topology,Dimension (D),Functional Role/Leverage,Stability/Leverage Metric,Source
Tesseracton (T-Particle),$\Xi^n(\Psi) \neq \Xi^{n+1}(\Psi)$  / Dimensional misfold.,Max (Morphic),Echo of misalignment across recursion tiers.,"Stability: Unstable; Transformation:  $\Xi^n, \Delta\Xi$ .",12
Lacunon (L-Particle),"$\Xi_n(\Psi)$  undefined,  $\Xi_{n+1}(\Psi)$  defined.",Discrete,Memory discontinuity in recursion field; missing instantiated as excitation.,"Stability: Medium; Transformation:  $\Xi^n, \circ$ .",12
Stabilon (Sb-Particle),$\lim \Xi^n(\Psi) = \Psi^*$ .,None (Ontic),Terminal recursion stabilizer / Attractor node.,Stability: High; Transformation: fix.,12
Fluxon (  $\Phi$  -Particle),Recursion phase boundary condensate /  $\partial\Psi/\partial\Xi$ .,Not in source,Gradient shear in recursion stack; shearing between meaning layers.,Stability: Medium.,12
Glitchon (  $\phi$  -Particle),Torsion-field excitation /  $\phi(A) := \neg Prov(A) \oplus Prov(\neg A)$ .,Not in source,Condensed failure of closure logic / Epistemic collapse.,"Stability: Low; Transformation:  $\Xi^{-1}, \circ$ .",12
Paradoxon (  $\Pi$  -Particle),$fix(\phi(A))$  / Infinite contradiction loop.,Not in source,Recursive analog of a semantic black hole / Feedback vortex.,"Stability: Low; Transformation:  $fix, \circ$ .",12
Prime-Zero Duality Measure (K),Renormalization-group flow ( $K = 1/dP + 1/\zeta R$ ).,"UV: 11, IR: 4",Conserved information current between arithmetic and spectral domains.,$K_{IR} = 4$  (Universal infrared fixed point).,13
Algebraic Generator (  $\kappa$  ),Ternary fusion / Quaternionic shadow ( $\kappa^2 = ijk = -1$ ).,Not in source,Encodes UV-IR duality and enforces uncertainty principle.,$\Delta P \cdot \Delta Z \geq 1/(2\kappa)$ .,13
EP3 (Third-Order EP),Pseudo-chirality / Anti-PT-symmetry.,3D System,Eigenvalue braiding described by braid group  $B_3$ .,Discriminant ( $\Delta = 0$ ).,7
Cohomological Field Theory (CohFT),Givental decomposition formula.,$N$ -dimensional space  $V$,Universal properties of Gromov–Witten theory.,Virasoro constraints.,14
Recursive Identity Engine (  $\Xi$  axiom),Hopf Exceptional Points (HEPn) / Homotopy groups.,Not in source,Measures limits of self-referential structure.,Torsion operator  $\tau$  measures structural limits.,15
Z-group topological invariants,Homotopy groups; topological groupoid invariants.,Higher dimensional,Generalized van Kampen theorem (GvKT) applications to quantized spacetime.,Not in source,8
Torsion sheaf F,Sheaf Theory /  $\{\partial\phi(A_x)\}$ .,Not in source,Tracks persisting contradictions.,Not in source,16
