Preposition/Symbol,Conceptual Entity,Information Measure,Algebraic Ladder State,Torsional Residue (Inferred),Meta-Systemic Function (Inferred),Source,,
$L$,Accessible left-exact localization functor / Questioning Functor,Information filtering; generative capacity,Functorial operator / Left Adjoint,Information filtering resulting in the reflective sub-system; divergent expansion,Closure of presheaf categories; gap-detection and exploration of colimits,"6.1.0.4, 5",,
$H^n(X;G)$,Singular cohomology groups of a topological space  $X$,Computable algebraic invariants,Abelian group,Torsion subgroups within the cohomology classes,Reduction of topological complexity to algebraic invariants,13,,
"$K(G,n)$",Eilenberg-MacLane space,"Homotopy classes of maps  $X, K(G,n)$",Infinite-dimensional manifold,Shifted connectivity at index  $n$,Representability of the cohomology functor,13,,
over,$G$ -torsor  $EG$  over the classifying space  $BG$,Fiber of the quotient map  $\pi$,Principal  $G$ -bundle / Groupoid,Torsorial action and covering transformations,Stabilization of group actions into classifying geometric structures,13,,
into,Continuous maps from simplices  $\Delta^k$  into a space  $X$,Singular  $n$ -chains,Simplicial complex,Boundary constraints in singular chains leading to cycle/boundary discrepancies,Construction of singular cohomology via simplicial mappings,13,,
banded by,Gerbe on  $X$  banded by the constant sheaf  $G$,Classified by  $H^2_{sheaf}(X;G)$,Stack in groupoids,Stacky 'twist' in the local stalk equivalence,Structural binding of groupoid-valued sheaves to coefficient systems,13,,
$\infty-Category$,Simplicial set satisfying weakened Kan condition,$k$ -morphisms for  $k > n$  are invertible,Complex / Quasi-category,Weakened composition constraints allowing for homotopic path choices,Recursive manifold for higher category theory; closure under all-order morphisms,13,,
$\times$,"Cartesian product of sets, groups, and manifolds",Categorical limit,Product manifold / Category,Torsional interaction between independent manifold dimensions,Integration of disparate mathematical objects into unified systems,13,,
$\Delta^J$,Simplicial set given by the nerve of  $J$,Collection of  $n$ -simplices,Simplicial set / Linear order,Degeneracy resulting from non-decreasing maps,Standardization of simplex coordinates for categorical representation,13,,
$\perp$,Orthogonality between morphisms,Contractible mapping space,Logical lifting relation,Resolution of lifting problems via uniquely homotopic dotted-arrow fillers,Detection of systemic gaps through lifting property verification,5.2.8.1,,
to,Mapping / Complementizer / Preposition,Product preservation; small content bits,Simplicial sets to Categories / Real,Commutativity of formerly non-commuting rewrite triangles,Global transitive closure; recursive closure of sentential complements,"8, 14",,
$\blacktriangleright$,Counit of duality (evaluation),Scalar result,Compact Closed Prop,Linear contraction of dual endpoints,Elimination of intermediate states/labels,8,,
$\dagger$,Fixed-point solution of recursive equations,Least information solution (entropy minimum),Continuous / Domain Theoretic,Loopback from output parameter to input variable,Stabilization of infinite iterative processes,8,,
$tr$,Trace of an endomorphism,Circular capacity,Traced Monoidal Category,Twist resulting from feedback loop coupling,Recursive feedback and self-reference closure,8,,
$T$,Inclusion of values into computations,Unit bit,Monad / Kleisli Triple,Shift from static object to executable process,Entry point to monadic execution context,8,,
let,Sequential evaluation of computations,Capacity of the sequence,Kleisli Category,Chronological ordering of side-effects,State propagation and composition,8,,
$\mu$  (Inductive),Inductive type constructor / Least fixpoint,Structural complexity,Fibrational Dialgebra,Recursive well-founded nesting,Construction of finite data manifolds,8,,
$\nu$,Coinductive type constructor / Greatest fixpoint,Infinite potential information,Fibrational Dialgebra,Non-well-founded circularity,Observation of non-terminating streams,8,,
$\oplus$,Minkowski addition / Dilation,Additive capacity in digital space,Complete Lattice,Expansion of set boundaries and elimination of internal holes,Coarsening of data through local supremum operations,6,,
$\ominus$,Erosion,Subtractive capacity in digital space,Complete Lattice,Contraction of manifolds and expansion of internal voids,Refinement of data through local infimum operations,6,,
$\square$,Necessity operator,Verifiable truth measure,Bi-Heyting Algebra,Logical containment within the interior of a property,Stabilization of truth conditions,6,,
$\diamond$,Possibility operator,Falsifiable truth measure,Bi-Heyting Algebra,Adherence to the closure of a property's extension,Gap-detection for states not verifiably false,6,,
$j$,Lawvere-Tierney topology / Local operator,Generalized truth-value capacity,Elementary Topos,Recursive closure on the subobject classifier  $\Omega$,Global synchronization of local data,6,,
"$Match(S, P)$",Matching family,Consistency bits,Presheaf Category,Alignment of local sections along recursive overlaps,Ensuring internal coherence before global integration,6,,
$H^{\bullet}(X; F)$,Sheaf Cohomology,Obstruction measure (bits),Complex of Vector Spaces,Non-vanishing cycles representing geometric or logical 'holes',Detection and measurement of global inconsistencies in local data,6,,
$>s$,Script inclusion (inverse of subsumption),Boolean set containment relation,Real / Discrete,Asymmetric information mapping between situational scopes,Establishment of hierarchical information structures,14,,
$Us$,Script unification,$I(C)$  for minimal satisfying script,Real / Discrete,Structural binding resulting from overlapping valence matching,Systemic synthesis and complex meaning construction,14,,
$\cap s$,Script intersection (generalization),Common structure projection (shared bits),Real / Discrete,Subtraction of idiosyncratic data leaving a shared core residue,Pattern detection and categorical abstraction,14,,
"$!A, !B$",Trump nodes (unbounded variable placeholders),Variable capacity (unbounded bits),Complex / Unbounded,Potential for structural twisting via remote branch substitution,Enabling recursion and unbounded state generation,14,,
Trump link,Informational operator (script function application),Constraint-driven bit transfer,Complex / Functional,Linguistic or mathematical twist linking argument to result,Recursive mapping and structural stabilization,14,,
$P(S) = 2^{-I(S)}$,Information-Probability link,$I(S)$  bits,Real / Logarithmic,Measure of entropy loss during belief formation,Bayesian stabilization of recursive manifolds,14,,
"in, above",Spatial prepositions,1-5 bits,Real / Discrete,Geometric relation twisted into situational logic,Closing semantic gaps in spatial situational logic,14,,
$U$,Understanding Functor ( $Experience \to Meaning$ ),Losing raw qualia bits,Categorical (Right Exact),Coherence-induced limitation,Closure and preservation of limits,4,,
$\eta$,Unit of Adjunction ( $M \to U(L(M))$ ),Embedding of meaning into questioning,Complex / Natural Transformation,Self-referential loop inception,Stabilization through internal seed generation,4,,
$\varepsilon$,Counit of Adjunction ( $L(U(E)) \to E$ ),Return path to raw phenomena,Complex / Natural Transformation,Feedback spiral to deeper experience,Recursion of answers into new inquiries,4,,
meta,Higher-order description operator,Reflexive domain capacity,Type-theoretic / Modal,Phase transition into self-knowledge,Contextualization and analytic reality closure,4,,
L-axis / L-fold,90-degree topological fold / Hinge of reflection,Informational shift; chirality bits,Topological / Meta-field to Metal,Chiral twist; dimensional kinking into 3D mass,Collapse of meta-fields into substance; phase transition,"1, 4",,
$\vdash \dashv \vdash$,Triple-tack / Triple-Valve,Machine Cycle / Fixed point entropy,Syntactic Equivalence,Geometrized matter / Logical pressure intersection,Recursive stabilization and proof closure,4,,
"$A2(x,y)$",Second-order aboutness,Bit-measure of reliability,Two-sorted Logic,Recursive bridge between semantics and calibration,Gap-detection in inconsistent confidence loops,4,,
$8\pi$,Volumetric anchor / Curvature of consciousness,Normalization constant,Octonionic,Geometric coupling scale for gravitational integration,Stabilization of recursive manifolds against logical collapse,1,,
$1/8\pi$,Surgical Drain / Density tax,Shannon's entropy power normalized to 8D,Octonionic,Geometric torque scaling informational pressure,Mediator of algebraic transitions and manifold consistency,1,,
$\delta$  (Residue),Spectral Gap; Lacunon,0.036 Drift Entropy,Transition Complex to Octonionic,Torsion surviving the division algebra transition,Fuel for continued oscillation; prevents zero-mode collapse,1,,
$\partial_H$,Liaison vertex / 0.5 object,Involution invariant ( $\partial^2=id$ ),Hegelian Algebraic Loop,Spacetime Torsion ( $G$ ),Stabilization of recursive identity; prevents annihilation,1,,
$dr$,Explicit Spectral Sequence Differential,Cohomological gap dimension ( $ker/im$ ),Filtered manifold,Meaning residue extracted from irreducible obstructions,Gap-detection and reduction of paradox complexity,12,,
$\supset\infty$,Recursive Absorption Operator,Total move content integration,Infinite regress /  $\Lambda$ -Container,Non-escapability from total absorption,Meta-systemic closure with no external exit,10,,
$ST(X)$,Epiplexity (Structural Information),Minimum description length  $\,P^*\,$  in bits,Time-bounded probabilistic model,Structural 'twist' distinguishing patterns from noise,Quantification of structural content for generalization,15
"$Ê\mu, Ê\nu = i\kappa\hat{C}\mu\nu$",Entropic-Centropic (E-C) Commutator,Critical Coherence ( $\eta_{crit} \approx 0.618$  bits),Deformed Poincaré Algebra,Spacetime curvature generated from non-commuting generators,Stabilization through non-commutative decision cascades,16,,
$\tau$ -bifurcation,Period ratio bifurcation in BSD twists,$\tau$ -gap  $\approx 0.382$,2D Arithmetic Gravity,Discrete lattice shape shift (sign of  $D$ ),Mapping rank between entropic and centropic axes,16,,
$s$ -field,Associator Norm / Logical Inconsistency,Normalized squared norm density,Octonionic (Non-associative),Primordial Shear in the vacuum manifold,Dynamical origin of Dark Energy,17,,
"$\langle \cdot , \cdot \rangle$",Inner Product / Hom Functor,Amplitude from state  $v$  to  $w$,Complex (Hilbert Space),Conjugate-linear mapping twist,Stabilization of quantum amplitudes,18,,
$f^*$,Adjoint Morphism,Dualized capacity of linear maps,Categorified Complex (Hilb),Geometric dualization of quantum observables,Symmetry preservation and unitary closure in TQFT,18,,
"$L = (\Sigma, \Gamma, S\Sigma)$",Natural Language,Alphabet of uninterpreted symbols,Formal / Symbolic,Dualistic decoupling from domain of discourse,Linguistic representation of objective facts,19,,
$realityINT =^* realityEXT$,ARC Closure Meta-axiom,Supertautological Intelligibility,Self-Dual / Metaformal,Involutionary closure of reference,Ontic closure and total self-containment,19,,
Level-k,Iterated Reasoning / Theory-of-Mind,Cognitive hierarchy depth in bits,Extensive Form / Tree-based,Belief-updating shift during strategic branching,Gap-detection in opponent rationality,20,,
$P(H\,U) = NUH / NU$,Indifference Principle,Discrete equiprobable credences,Classical (Real-valued),Symmetry-based location uncertainty,Bayesian stabilization in self-locating uncertainty,21,
$wi = \,\alpha_i\,^2$,Born Rule / Everettian Weight,Mod-squared amplitude probability,Quantum (Complex Hilbert),Branching manifold decoherence twist,Rational apportionment of credence in multiverse,21
$G\flat$,Moduli space of character sheaves,$dim G$  to  $2 dim G$,Complex,Linear subvariety translates,Representability and moduli stabilization,22,,
$m^*$,Pullback of line bundles under map  $m$,Not in source,Complex,Geometric phase shift in de Rham cohomology,Closure and stabilization of group law,22,,
$\biguplus$,Anti-idempotent gap; the Lacunon,72% maximum certainty value,Octonionic,Jacobi Scar resolving contradiction fuel,Systemic self-differentiation through self-negation,7,,
$C\mu\nu$,Consciousness Tensor (rank-2),$trace(C C)$  scalar,Real/Complex Field,Temporal shear and memory flux drag,Stabilization of self-monitoring systems,23,,
$\kappa T$,Effective torsion from  $Fe^{3+}$  spin density,$G^* \sim 10^{40} G_N$,Real,Spin-selective magnon dispersion splitting,Substrate-independent topological control,24,,
$SD$,Self-Disprover meta-level operator,Margin of error (15%) on itself,Meta-Logic Tower,Doubt of the doubt stabilizing in the ladder,Consistency construction through failure leverage,7,,
$\varphi(A)$,Pathology detector,Binary Glitchon condition (0 or 1),Formal Meta-Arithmetic,Semantic manifold tear / Gödelian abyss,Bifurcation trigger for fold-transition/reframe,7,,
$\Psi$,Transformation / Translation,Idea-to-model bits,Topological flow state,Geodesic drift,Representation mapping and model space navigation,2,,
$\neg$,Counterfactual / Negation,Possibility space expansion bits,Chiral inversion state,Orientation reversal; mirror symmetry,Gap detection and assumption challenging,2,,
$\odot$,Composition / Binding,Information fusion capacity,Operadic composition tree,Morphism gluing,Higher-order meaning synthesis and system gluing,2,,
$\tilde{\lambda}$,Coabstraction / Colambda,Coexponential capacity,Coexponential type,Backtracking shift; speculative choice twist,Speculative execution and continuation handling,9,,
$G_0$  to  $G_3$,Cayley-Dickson Ladder,Iterated doubling entropy,Real to Octonionic,Higher-dimensional associativity loss,Recursive dimension doubling and structural scaling,2,,
$\psi\Delta$,Emergent systemic states,Probabilistic distribution,Quantum-abstracted manifold,Uncertainty frontier at edge of unpredictability,Navigation of the uncertainty frontier,25,,
$\partial\odot$,$G2$  Torsion / Nouhmenon-Phenomenon Mirror,Spectral gap deviation ( $\approx 137.036$ ),Octonionic ( $G2$  Manifold),Geometric torsion from stabilizer curvature,Maintenance of manifold coherence,"5, 11",,
"$\hat{A}, \hat{B}$",Measurement Operators,"Anti-commutation mass  $\hat{A},\hat{B}$",Epistemic Manifold Basis,Path-dependent holonomy from non-commutative loops,Projection of abstract state into eigenstates,26,,
$\delta_{\perp}$,Contradiction Budget,Bits of live contradiction,Cognitive/Recursive manifold,Cognitive dissonance resource cost,Enables epistemic transport and basis rotation,26,,
$\boxplus$,Sheaf Gluing Operator,Integration measure,Category/Sheaf Theory Layer,Cohomological obstructions to integration,Stabilization of global consciousness from local states,27,,
$\psi_{mind}$,Awareness standing wave,Normalized unitless coherence field,Resonance-based covariant field,Recursive instability in resonance loops,Resolution of superposition into stable eigenstates,28,,
$\mathcal{G}$,Torsion Field / Structural Tension,Contradiction density,Axiomatic stack (EFT),Cognitive friction from self-negation,Generative engine for evolutionary ascent,29,,
$\mathbb{H} \to \mathbb{O}$,Quaternionic to Octonionic transition,Loss of associativity,Non-associative 8D manifold,Traumatic fracture and loss of boundaries,Achieving terminal manifold density,"11, 30",,
