Symbol,Name or Meaning,Page Reference,Chapter,Category,Source,,
a ⊆ b,Inclusion relation between subsets,18,Not in source,Set Theory,18,,
∀,Universal quantifier (For all),8,Not in source,Logic,18,,
∃!,Existential quantifier (There exists a unique),8,Not in source,Logic,18,,
≃,Isomorphism (Unique up to isomorphism),8,Not in source,Category Theory,18,,
∡ ̑,Union of an indexed family of subsets,22,Not in source,Set Theory,18,,
∩,The intersection of sets A and B,Not in source,Not in source,Set Theory,19,,
∪,The union of sets,Not in source,Not in source,Set Theory,19,,
∈,Element of / belongs to category,Not in source,Not in source,Set Theory,19,,
⊆,Subset / contained within,Not in source,Not in source,Set Theory,19,,
∖,Set difference / excluding,Not in source,Not in source,Set Theory,19,,
×,Cartesian product / all combinations,Not in source,Not in source,Set Theory,19,,
→,Implication / leads to,Not in source,Not in source,Logic,19,,
∀,For all / universally,Not in source,Not in source,Logic,19,,
∃,There exists / some instance,Not in source,Not in source,Logic,19,,
⊗,Tensor product / interaction,Not in source,Not in source,Matrices,19,,
⊕,Direct sum / parallel combination,Not in source,Not in source,Matrices,19,,
†,Dagger / adjoint / reverse perspective,Not in source,Not in source,Matrices,19,,
⊥,Orthogonal / independent,Not in source,Not in source,Matrices,19,,
‖‖,Norm / measure / magnitude,Not in source,Not in source,Matrices,19,,
⊢,turnstile; denotes 'yields' or 'proves',Not in source,Not in source,Logic,13,,
∩,The intersection of sets (overlap or common ground),Not in source,Not in source,Set Theory,20,,
∪,The union of sets (combination),Not in source,Not in source,Set Theory,20,,
⊆,Subset (contained within or special case of),Not in source,Not in source,Set Theory,20,,
∈,Element of (is an instance of or belongs to category),Not in source,Not in source,Set Theory,20,,
∖,Set difference (excluding or minus an aspect),Not in source,Not in source,Set Theory,20,,
×,Cartesian product (all combinations or pairing),Not in source,Not in source,Set Theory,20,,
→,Logical implication (leads to or suggests),Not in source,Not in source,Logic,20,,
∀,Universal quantifier (for all or in all cases),Not in source,Not in source,Logic,20,,
∃,Existential quantifier (there exists at least one instance),Not in source,Not in source,Logic,20,,
¬,Logical negation,Not in source,Not in source,Logic,20,,
∧,Logical conjunction (AND),Not in source,Not in source,Logic,20,,
⊕,Direct sum or exclusive OR (XOR) logic,Not in source,Not in source,Logic / Linear Algebra,20,,
⊗,Tensor product (interaction or combined dimensions),Not in source,Not in source,Linear Algebra,20,,
⊥,Perpendicular or orthogonal (unrelated or independent),Not in source,Not in source,Linear Algebra,20,,
†,Dagger (adjoint or dual perspective),Not in source,Not in source,Linear Algebra,20,,
‖‖,Norm (measure of magnitude or importance),Not in source,Not in source,Mathematical Analysis,20,,
∂,"Boundary operator (edge case, limit, or frame)",Not in source,Not in source,Topology / Analysis,20,,
∇,Nabla/Del (context gradient or field of influence),Not in source,Not in source,Differential Geometry,20,,
∆,Laplacian (difference from surroundings),Not in source,Not in source,Differential Geometry,20,,
∮,Loop integral (cyclic process or enclosed system),Not in source,Not in source,Mathematical Analysis,20,,
∫,Integral (accumulation or sum over domain),Not in source,Not in source,Mathematical Analysis,20,,
∘,Composition (chaining or sequential process),Not in source,Not in source,Category Theory,20,,
⊕,Direct sum or XOR,Not in source,Not in source,Logic / Algebra,16,,
Δ,Distinction or Difference operator,Not in source,Not in source,Logic / Set Theory,"16, 17",,
Ω,Topological Collapse Index / Omega limit,Not in source,Not in source,Topological Data Structures,"16, 17",,
$\infty$,Infinity-category,Not in source,Not in source,Category Theory,21,,
∀,All (universal quantifier),Not in source,Not in source,Logic,22,,
∃,Some (existential quantifier),Not in source,Not in source,Logic,22,,
∧,And (logical connective),Not in source,Not in source,Logic,22,,
∨,Or (logical connective),Not in source,Not in source,Logic,22,,
¬,Not (logical connective),Not in source,Not in source,Logic,22,,
⊥,Falsum symbol (contradiction),Not in source,Not in source,Logic,22,,
π,Mathematical constant pi,Not in source,Not in source,Mathematical Constants,22,,
Σ,Set of axioms,Not in source,Not in source,Logic,22,,
∩,the intersection of sets A and B,Not in source,Not in source,Set Theory,Not in source,,
∪,the union of sets A and B,Not in source,Not in source,Set Theory,Not in source,,
A ⊆ B,A is a subset of B,Not in source,Not in source,Set Theory,Not in source,,
¬,logical negation,Not in source,Not in source,Logic,Not in source,,
∧,logical conjunction (and),Not in source,Not in source,Logic,Not in source,,
∨,logical disjunction (or),Not in source,Not in source,Logic,Not in source,,
A = a_ij,Matrix representation,Not in source,Not in source,Matrices,Not in source,,
"P(n, r)",Permutations of n objects taken r at a time,Not in source,Not in source,Counting,Not in source,,
